method,prototype_temperature,softmax_temperature,softmax_weight,hier_aux_prob_weight,fusion_kind,n,top1_acc,macro_f1,top2_acc,ece,brier,nll
raw_softmax,,,,,,120,0.9666666666666667,0.9666666666666668,1.0,0.08873439927895863,0.09042874723672867,0.168824702501297
calibrated_softmax,,0.5,,,,120,0.9666666666666667,0.9666666666666668,1.0,0.032121902704238925,0.06371431797742844,0.11706876009702682
calibrated_softmax,,0.75,,,,120,0.9666666666666667,0.9666666666666668,1.0,0.060112291077772766,0.07588982582092285,0.14054368436336517
calibrated_softmax,,1.0,,,,120,0.9666666666666667,0.9666666666666668,1.0,0.0887344032526016,0.09042874723672867,0.1688247174024582
calibrated_softmax,,1.5,,,,120,0.9666666666666667,0.9666666666666668,1.0,0.14265262410044666,0.1209995299577713,0.23188374936580658
calibrated_softmax,,2.0,,,,120,0.9666666666666667,0.9666666666666668,1.0,0.19861522689461708,0.15155169367790222,0.30363398790359497
prototype,0.03,,,,,120,0.975,0.9749930536260072,1.0,0.02209885219732923,0.054405804723501205,0.10783514380455017
hierarchical,0.03,,,0.5,,120,0.975,0.9749930536260072,1.0,0.03314933379491174,0.055580250918865204,0.10871105641126633
prototype,0.05,,,,,120,0.975,0.9749930536260072,1.0,0.05863343626260762,0.06808450818061829,0.12969593703746796
hierarchical,0.05,,,0.5,,120,0.975,0.9749930536260072,1.0,0.056665618717670466,0.06728565692901611,0.12866081297397614
prototype,0.07,,,,,120,0.975,0.9749930536260072,1.0,0.08766651252905529,0.08431104570627213,0.15667977929115295
hierarchical,0.07,,,0.5,,120,0.975,0.9749930536260072,1.0,0.08558956931034725,0.08316764235496521,0.1554696410894394
prototype,0.1,,,,,120,0.975,0.9749930536260072,1.0,0.11852761059999464,0.10745874792337418,0.19038626551628113
hierarchical,0.1,,,0.5,,120,0.975,0.9749373433583959,1.0,0.11661854187647498,0.10730219632387161,0.19020453095436096
prototype,0.2,,,,,120,0.975,0.9749930536260072,1.0,0.17160093585650127,0.15889808535575867,0.25800639390945435
hierarchical,0.2,,,0.5,,120,0.9583333333333334,0.9580419580419581,1.0,0.15333462407191592,0.16246795654296875,0.2616460621356964
prototype,0.5,,,,,120,0.975,0.9749930536260072,1.0,0.3201111157735189,0.24204353988170624,0.4576205015182495
hierarchical,0.5,,,0.5,,120,0.8,0.761904761904762,1.0,0.21264896839857103,0.2529652714729309,0.4714156985282898
prototype,1.0,,,,,120,0.975,0.9749930536260072,1.0,0.49983271534244217,0.398281067609787,0.75956791639328
hierarchical,1.0,,,0.5,,120,0.75,0.6666666666666666,1.0,0.25997492422660184,0.41046708822250366,0.7762013077735901
fused,0.03,0.5,0.0,0.5,pure_prototype,120,0.975,0.9749930536260072,1.0,0.03314933379491174,0.055580250918865204,0.10871105641126633
fused,0.03,0.5,0.25,0.5,mixed,120,0.975,0.9749930536260072,1.0,0.0347164625922839,0.05659991875290871,0.10952326655387878
fused,0.03,0.5,0.5,0.5,mixed,120,0.975,0.9749930536260072,1.0,0.029697864254315684,0.05829548090696335,0.11130954325199127
fused,0.03,0.5,0.75,0.5,mixed,120,0.9666666666666667,0.9666666666666668,1.0,0.02833856344223025,0.06066695228219032,0.11384966969490051
fused,0.03,0.5,1.0,0.5,pure_softmax,120,0.9666666666666667,0.9666666666666668,1.0,0.032121902704238925,0.06371431797742844,0.11706876009702682
