experiment,model,fold,seed,test_acc,test_macro_f1,best_val_macro_f1,fusion_type,aux_gate_init,gate_mean,gate_max
cv10_fold0_logmel_seed42,logmel,0,42,0.9285714285714286,0.9279176201372997,0.9642461197339246,direct,-4.0,,
cv10_fold1_logmel_seed42,logmel,1,42,0.9047619047619048,0.9011764705882352,0.9404424276800907,direct,-4.0,,
cv10_fold2_logmel_seed42,logmel,2,42,0.9047619047619048,0.9057900432900432,0.9401709401709402,direct,-4.0,,
cv10_fold3_logmel_seed42,logmel,3,42,0.9404761904761905,0.9404424276800907,0.9642654566080544,direct,-4.0,,
cv10_fold4_logmel_seed42,logmel,4,42,0.9404761904761905,0.9401709401709402,0.928409090909091,direct,-4.0,,
cv10_fold5_logmel_seed42,logmel,5,42,0.9047619047619048,0.9027777777777778,0.9522727272727273,direct,-4.0,,
cv10_fold6_logmel_seed42,logmel,6,42,0.9166666666666666,0.9162393162393163,0.8913168487636574,direct,-4.0,,
cv10_fold7_logmel_seed42,logmel,7,42,0.8928571428571429,0.889795918367347,0.9519450800915332,direct,-4.0,,
cv10_fold8_logmel_seed42,logmel,8,42,0.9047619047619048,0.9038901601830664,0.9045454545454545,direct,-4.0,,
cv10_fold9_logmel_seed42,logmel,9,42,0.9166666666666666,0.9162393162393163,0.9401709401709402,direct,-4.0,,
cv10_fold0_logmel_seed2024,logmel,0,2024,0.9404761904761905,0.9401709401709402,0.9526510547497501,direct,-4.0,,
cv10_fold1_logmel_seed2024,logmel,1,2024,0.9047619047619048,0.9011764705882352,0.9293237250554324,direct,-4.0,,
cv10_fold2_logmel_seed2024,logmel,2,2024,0.8809523809523809,0.8815217391304347,0.9401709401709402,direct,-4.0,,
cv10_fold3_logmel_seed2024,logmel,3,2024,0.9285714285714286,0.9279176201372997,0.9522727272727273,direct,-4.0,,
cv10_fold4_logmel_seed2024,logmel,4,2024,0.9404761904761905,0.9401709401709402,0.9404424276800907,direct,-4.0,,
cv10_fold5_logmel_seed2024,logmel,5,2024,0.9166666666666666,0.915422077922078,0.9522727272727273,direct,-4.0,,
cv10_fold6_logmel_seed2024,logmel,6,2024,0.9047619047619048,0.9016319869441045,0.879862700228833,direct,-4.0,,
cv10_fold7_logmel_seed2024,logmel,7,2024,0.8928571428571429,0.8923076923076922,0.9523809523809523,direct,-4.0,,
cv10_fold8_logmel_seed2024,logmel,8,2024,0.9166666666666666,0.9154686601495112,0.9166193987521271,direct,-4.0,,
cv10_fold9_logmel_seed2024,logmel,9,2024,0.9285714285714286,0.9285714285714286,0.9642654566080544,direct,-4.0,,
cv10_fold0_logmel_seed3407,logmel,0,3407,0.9285714285714286,0.928409090909091,0.941023147773006,direct,-4.0,,
