experiment,model,fold,seed,test_acc,test_macro_f1,best_val_macro_f1,pretrained_ckpt,load_encoder_only,freeze_encoder_epochs,fusion_type,aux_gate_init,gate_mean,gate_max
cv10_pretrain_no_feeding_fold4_logmel_seed3407,logmel_pretrain,4,3407,0.9523809523809523,0.9523809523809523,0.9166193987521271,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold5_logmel_seed3407,logmel_pretrain,5,3407,0.9285714285714286,0.9285714285714286,0.9523809523809523,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold6_logmel_seed3407,logmel_pretrain,6,3407,0.9166666666666666,0.9146948013227083,0.8809523809523809,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold7_logmel_seed3407,logmel_pretrain,7,3407,0.8690476190476191,0.8683760683760684,0.9642654566080544,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold8_logmel_seed3407,logmel_pretrain,8,3407,0.9166666666666666,0.9154686601495112,0.9279176201372997,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold9_logmel_seed3407,logmel_pretrain,9,3407,0.9285714285714286,0.928409090909091,0.9642654566080544,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold0_mctafd_no_se_gated_seed42,mctafd_no_se_gated_pretrain,0,42,0.9166666666666666,0.9166193987521271,0.9519450800915332,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.01834537461400032,0.020595422014594078
cv10_pretrain_no_feeding_fold1_mctafd_no_se_gated_seed42,mctafd_no_se_gated_pretrain,1,42,0.9404761904761905,0.9404424276800907,0.9404424276800907,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.018439448904246092,0.020746929571032524
cv10_pretrain_no_feeding_fold2_mctafd_no_se_gated_seed42,mctafd_no_se_gated_pretrain,2,42,0.9166666666666666,0.9166193987521271,0.9523809523809523,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.018395587336272,0.020629102364182472
cv10_pretrain_no_feeding_fold3_mctafd_no_se_gated_seed42,mctafd_no_se_gated_pretrain,3,42,0.8928571428571429,0.8877005347593583,0.9641025641025642,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.018351588863879442,0.020649313926696777
