metrics_json,fold,seed,lambda,feature_backend,input_role,eligible_for_cv_aggregation,leakage_audit_ok,manifest_sha_verified,softmax_reproduction_passed,confusion_matrices_json,raw_softmax_macro_f1,raw_softmax_top1_acc,raw_softmax_top2_acc,raw_softmax_ece,raw_softmax_brier,raw_softmax_nll,calibrated_softmax_macro_f1,calibrated_softmax_top1_acc,calibrated_softmax_top2_acc,calibrated_softmax_ece,calibrated_softmax_brier,calibrated_softmax_nll,prototype_macro_f1,prototype_top1_acc,prototype_top2_acc,prototype_ece,prototype_brier,prototype_nll,hierarchical_macro_f1,hierarchical_top1_acc,hierarchical_top2_acc,hierarchical_ece,hierarchical_brier,hierarchical_nll,fused_macro_f1,fused_top1_acc,fused_top2_acc,fused_ece,fused_brier,fused_nll
reports\prototype_cv5_exact_w05_fold0_seed42\evaluation\metrics.json,0,42,0.5,training_exact,frozen_test,True,True,True,True,reports\prototype_cv5_exact_w05_fold0_seed42\evaluation\confusion_matrices.json,0.9403409090909091,0.9404761904761905,1.0,0.028280227666809463,0.08516957610845566,0.1287464201450348,0.9403409090909091,0.9404761904761905,1.0,0.028280227666809463,0.08516957610845566,0.1287464201450348,0.9403409090909091,0.9404761904761905,1.0,0.024948267354851686,0.08473342657089233,0.1288207769393921,0.9403409090909091,0.9404761904761905,1.0,0.024644396844364393,0.08684132993221283,0.13235218822956085,0.9403409090909091,0.9404761904761905,1.0,0.025010039409001688,0.08604064583778381,0.13042089343070984
reports\prototype_cv5_exact_w05_fold0_seed123\evaluation\metrics.json,0,123,0.5,training_exact,frozen_test,True,True,True,True,reports\prototype_cv5_exact_w05_fold0_seed123\evaluation\confusion_matrices.json,0.9340659340659341,0.9345238095238095,1.0,0.03934843554383231,0.08956148475408554,0.13515818119049072,0.9340659340659341,0.9345238095238095,1.0,0.039348425609724846,0.08956148475408554,0.13515818119049072,0.9342909970132272,0.9345238095238095,1.0,0.026398344054108562,0.0797925591468811,0.12189652025699615,0.9342909970132272,0.9345238095238095,1.0,0.03171228830303464,0.08188003301620483,0.12444407492876053,0.9342909970132272,0.9345238095238095,1.0,0.03171228830303464,0.08188003301620483,0.12444407492876053
reports\prototype_cv5_exact_w05_fold0_seed777\evaluation\metrics.json,0,777,0.5,training_exact,frozen_test,True,True,True,True,reports\prototype_cv5_exact_w05_fold0_seed777\evaluation\confusion_matrices.json,0.9464209780297661,0.9464285714285714,1.0,0.03743855087530045,0.07036065310239792,0.1103668361902237,0.9464209780297661,0.9464285714285714,1.0,0.033964894357181696,0.07307275384664536,0.11139538139104843,0.9403409090909091,0.9404761904761905,1.0,0.021439468576794546,0.07554212957620621,0.11824804544448853,0.9344401873137504,0.9345238095238095,1.0,0.03571910375640508,0.08425533026456833,0.13497662544250488,0.9464209780297661,0.9464285714285714,1.0,0.027036796368303792,0.0752258449792862,0.11487370729446411
reports\prototype_cv5_exact_w05_fold0_seed2024\evaluation\metrics.json,0,2024,0.5,training_exact,frozen_test,True,True,True,True,reports\prototype_cv5_exact_w05_fold0_seed2024\evaluation\confusion_matrices.json,0.946053946053946,0.9464285714285714,1.0,0.031264880938189375,0.08038715273141861,0.12434657663106918,0.946053946053946,0.9464285714285714,1.0,0.03126488129297893,0.08038715273141861,0.12434659898281097,0.946053946053946,0.9464285714285714,1.0,0.028681987098285122,0.08207868039608002,0.12587325274944305,0.946053946053946,0.9464285714285714,1.0,0.040021836757659884,0.09202014654874802,0.14661702513694763,0.946053946053946,0.9464285714285714,1.0,0.03126488129297893,0.08038715273141861,0.12434659898281097
reports\prototype_cv5_exact_w05_fold0_seed3407\evaluation\metrics.json,0,3407,0.5,training_exact,frozen_test,True,True,True,True,reports\prototype_cv5_exact_w05_fold0_seed3407\evaluation\confusion_matrices.json,0.946360153256705,0.9464285714285714,1.0,0.028920732793353863,0.08376077562570572,0.1270635724067688,0.946360153256705,0.9464285714285714,1.0,0.02892072924545834,0.08376077562570572,0.1270635724067688,0.946360153256705,0.9464285714285714,1.0,0.035534498947007324,0.07598350942134857,0.11826877295970917,0.9522727272727273,0.9523809523809523,1.0,0.0341516917660123,0.077241912484169,0.12035036087036133,0.946360153256705,0.9464285714285714,1.0,0.02892072924545834,0.08376077562570572,0.1270635724067688
reports\prototype_cv5_exact_w05_fold1_seed42\evaluation\metrics.json,1,42,0.5,training_exact,frozen_test,True,True,True,True,reports\prototype_cv5_exact_w05_fold1_seed42\evaluation\confusion_matrices.json,0.9404424276800907,0.9404761904761905,1.0,0.06906633114530927,0.11126963049173355,0.1914137452840805,0.9404424276800907,0.9404761904761905,1.0,0.02849244503747847,0.0931701809167862,0.15455730259418488,0.9285309132161088,0.9285714285714286,1.0,0.024093540296668117,0.08692402392625809,0.13640210032463074,0.9464209780297661,0.9464285714285714,1.0,0.02684161173445839,0.08256690204143524,0.13670985400676727,0.9464209780297661,0.9464285714285714,1.0,0.02684161173445839,0.08256690204143524,0.13670985400676727
reports\prototype_cv5_exact_w05_fold1_seed123\evaluation\metrics.json,1,123,0.5,training_exact,frozen_test,True,True,True,True,reports\prototype_cv5_exact_w05_fold1_seed123\evaluation\confusion_matrices.json,0.9521367521367521,0.9523809523809523,1.0,0.037543291137332,0.0729847326874733,0.12746229767799377,0.9521367521367521,0.9523809523809523,1.0,0.02596841646092281,0.0716574564576149,0.12021248787641525,0.9642045454545454,0.9642857142857143,1.0,0.03839479244890667,0.06378898024559021,0.10099415481090546,0.9521367521367521,0.9523809523809523,1.0,0.08561618413243974,0.09745816141366959,0.1817241907119751,0.9521367521367521,0.9523809523809523,1.0,0.02596841646092281,0.0716574564576149,0.12021248787641525
reports\prototype_cv5_exact_w05_fold1_seed777\evaluation\metrics.json,1,777,0.5,training_exact,frozen_test,True,True,True,True,reports\prototype_cv5_exact_w05_fold1_seed777\evaluation\confusion_matrices.json,0.9345145287030475,0.9345238095238095,1.0,0.03488902641194207,0.08671209216117859,0.14853784441947937,0.9345145287030475,0.9345238095238095,1.0,0.031932341555754334,0.09032601863145828,0.13763384521007538,0.9226080793763289,0.9226190476190477,1.0,0.03375856649307979,0.09276555478572845,0.138782799243927,0.9345145287030475,0.9345238095238095,1.0,0.02414727636746001,0.08418815582990646,0.13168364763259888,0.9345145287030475,0.9345238095238095,1.0,0.030723868381409405,0.0885109230875969,0.13523390889167786
reports\prototype_cv5_exact_w05_fold1_seed2024\evaluation\metrics.json,1,2024,0.5,training_exact,frozen_test,True,True,True,True,reports\prototype_cv5_exact_w05_fold1_seed2024\evaluation\confusion_matrices.json,0.9217204301075269,0.9226190476190477,1.0,0.0194095451207388,0.09815725684165955,0.15758930146694183,0.9217204301075269,0.9226190476190477,1.0,0.018682755175090927,0.09830302000045776,0.15252210199832916,0.9523809523809523,0.9523809523809523,1.0,0.039498812385967794,0.06274212896823883,0.10740266740322113,0.9642654566080544,0.9642857142857143,1.0,0.0355458589536803,0.06724539399147034,0.11434309929609299,0.9642654566080544,0.9642857142857143,1.0,0.0355458589536803,0.06724539399147034,0.11434309929609299
reports\prototype_cv5_exact_w05_fold1_seed3407\evaluation\metrics.json,1,3407,0.5,training_exact,frozen_test,True,True,True,True,reports\prototype_cv5_exact_w05_fold1_seed3407\evaluation\confusion_matrices.json,0.946053946053946,0.9464285714285714,1.0,0.05272218549535389,0.10298611968755722,0.17309284210205078,0.946053946053946,0.9464285714285714,1.0,0.0269213829721723,0.09563734382390976,0.16309799253940582,0.9464209780297661,0.9464285714285714,1.0,0.026375887649399927,0.0766591876745224,0.12115290015935898,0.9642045454545454,0.9642857142857143,1.0,0.04955383532104037,0.08105477690696716,0.13695882260799408,0.9521367521367521,0.9523809523809523,1.0,0.02941800512018653,0.0855121910572052,0.14135704934597015
