model,n_runs,macro_f1_from_cm,feeding_f1,stress_f1,feeding_recall,stress_recall,feeding_to_stress,stress_to_feeding
cap3x_logmel_dur1,25,0.9231466078361852,0.8488652824722357,0.8489681050656661,0.8371428571428572,0.861904761904762,171,142
cap3x_logmel_dur2,25,0.9474149717536814,0.8948631781084974,0.8962264150943396,0.8876190476190476,0.9047619047619048,118,100
cap3x_logmel_dur3,15,0.943646793971634,0.8854589764419171,0.8899224806201551,0.8650793650793651,0.9111111111111111,85,56
