fold,raw_softmax_mean_macro_f1,prototype_mean_macro_f1,hierarchical_mean_macro_f1,hierarchical_minus_raw,hierarchical_minus_prototype,h_vs_raw_wins,h_vs_raw_ties,h_vs_raw_losses,h_vs_prototype_wins,h_vs_prototype_ties,h_vs_prototype_losses
0,0.942648384099452,0.9414773829011394,0.941479753348912,-0.001168630750540034,2.370447772692685e-06,2,2,1,1,3,1
1,0.9389736169362728,0.9428290936915402,0.952308452186433,0.013334835250160437,0.009479358494892787,3,2,0,4,0,1
2,0.9535526838221869,0.9535675475009281,0.9547568424960347,0.001204158673847555,0.0011892949951064712,2,3,0,1,4,0
3,0.9510548231840812,0.9523488626327309,0.9511622767097695,0.00010745352568846123,-0.0011865859229613029,4,0,1,1,2,2
4,0.9690188580037317,0.9690391790664424,0.9702237464086769,0.0012048884049455256,0.0011845673422345548,2,1,2,1,3,1
