comparison,n,mean_delta,std_delta,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p,wins,ties,losses
hierarchical - raw_softmax,25,0.0029365410208203623,0.010335612646114685,-0.0004775650942011766,0.007294064960569131,0.05825295212511276,13,8,4
prototype - raw_softmax,25,0.0008027399494113263,0.0086112747183765,-0.00231004408493595,0.004431133516898616,0.5712430483673425,10,7,8
hierarchical - prototype,25,0.002133801071409036,0.007269805446963283,-0.0004991329419720523,0.004996053417118917,0.221330082993901,8,12,5
