model,n_runs,acc_from_cm,macro_f1_from_cm,feeding_recall,feeding_f1,stress_recall,stress_f1,feeding_to_stress,stress_to_feeding
logmel,25,0.9121428571428571,0.9121772872446008,0.8123809523809524,0.8293631502187652,0.8476190476190476,0.8298368298368297,195,154
mctafd_no_se_direct,25,0.9111904761904762,0.9113265623162304,0.8047619047619048,0.8255984367366879,0.8533333333333334,0.8292457195742712,205,152
mctafd_no_se_gated,25,0.920952380952381,0.921039037574424,0.8333333333333334,0.8450024142926124,0.8590476190476191,0.8453608247422679,175,146
mctafd_se,25,0.9142857142857143,0.914497247213012,0.8219047619047619,0.833413809753742,0.8495238095238096,0.8336448598130842,185,156
