model_a,model_b,n,mean_a,mean_b,mean_delta_a_minus_b,std_delta,ci95_low,ci95_high,wilcoxon_p
mctafd_no_se_gated,logmel,25,0.9204686933182991,0.9119200448644631,0.008548648453835904,0.02168578755930882,0.00029933640436246764,0.01689963140248808,0.10340377676901528
mctafd_no_se_gated,mctafd_no_se_direct,25,0.9204686933182991,0.9106633159037062,0.009805377414592784,0.026451194527317527,-0.0002803908139393441,0.019792889065830033,0.04512268304824829
mctafd_no_se_gated,mctafd_se,25,0.9204686933182991,0.9140795925088306,0.006389100809468324,0.020307136064179825,-0.0015024261473015749,0.01370668794873241,0.13359457803666355
mctafd_no_se_direct,logmel,25,0.9106633159037062,0.9119200448644631,-0.001256728960756881,0.01948669052049857,-0.008889353948577023,0.006296753257702879,0.8739878535270691
mctafd_se,logmel,25,0.9140795925088306,0.9119200448644631,0.0021595476443675788,0.01790814004647496,-0.004697229272442543,0.009031118942895548,0.5633423630007264
