experiment,seed,test_macro_f1,best_val_macro_f1,gate_1,gate_2,gate_3,gate_4,gate_mean,gate_max
cv5_gated_boundary_fold0_mctafd_no_se_w02_seed2024,2024,0.9462380884653676,0.9666295884315906,0.018614009022712708,0.017312616109848022,0.018594350665807724,0.01850833371281624,0.018257327377796173,0.018614009022712708
cv5_gated_boundary_fold0_mctafd_no_se_w02_seed3407,3407,0.9025752554542944,0.9497767857142857,0.019018422812223434,0.017704004421830177,0.01792936399579048,0.018496761098504066,0.01828713808208704,0.019018422812223434
cv5_gated_boundary_fold0_mctafd_no_se_w02_seed42,42,0.8761633011413521,0.9497767857142857,0.01833806186914444,0.017165685072541237,0.01834280416369438,0.018358638510107994,0.018051297403872013,0.018358638510107994
cv5_gated_boundary_fold0_mctafd_no_se_w05_seed2024,2024,0.9279176201372997,0.95,0.018436333164572716,0.017601124942302704,0.017917681485414505,0.01842563785612583,0.01809519436210394,0.018436333164572716
cv5_gated_boundary_fold0_mctafd_no_se_w05_seed3407,3407,0.8684316182850274,0.949944382647386,0.018439428880810738,0.017774153500795364,0.017841031774878502,0.018335508182644844,0.018097530584782362,0.018439428880810738
cv5_gated_boundary_fold0_mctafd_no_se_w05_seed42,42,0.9154686601495112,0.949944382647386,0.01817857101559639,0.017087416723370552,0.0185952577739954,0.018136193975806236,0.017999359872192144,0.0185952577739954
cv5_gated_boundary_fold1_mctafd_no_se_w02_seed2024,2024,0.9227735859261963,0.9416504584606835,0.0181658286601305,0.01748066395521164,0.018623104318976402,0.01879771426320076,0.018266827799379826,0.01879771426320076
cv5_gated_boundary_fold1_mctafd_no_se_w02_seed3407,3407,0.9115494978479197,0.9666295884315906,0.019175495952367783,0.017879433929920197,0.01810378022491932,0.018301740288734436,0.018365112598985434,0.019175495952367783
cv5_gated_boundary_fold1_mctafd_no_se_w02_seed42,42,0.9231366171160673,0.9580419580419581,0.018413865938782692,0.018467627465724945,0.01864423230290413,0.018047191202640533,0.018393229227513075,0.01864423230290413
cv5_gated_boundary_fold1_mctafd_no_se_w05_seed2024,2024,0.8938193825459849,0.949944382647386,0.01827280968427658,0.017423518002033234,0.018391404300928116,0.018664218485355377,0.018187987618148327,0.018664218485355377
