comparison,n,mean_a,mean_b,mean_delta,std_delta,ci95_low,ci95_high,wilcoxon_p
latefusion_minus_baseline,30,0.9181704596374032,0.9177032995794675,0.0004671600579354488,0.007923848778331074,-0.002141934630719162,0.0034317118076431547,0.7988593499960496
latefusion_minus_pretrain,30,0.9181704596374032,0.9200767850504415,-0.0019063254130382383,0.030144651767853203,-0.011718821922343785,0.009377936608870761,0.24725211184791718
pretrain_minus_baseline,30,0.9200767850504415,0.9177032995794675,0.002373485470973687,0.030614682929970268,-0.008980071153007103,0.012326442518275206,0.2621222734451294
