comparison,n,mean_delta,std_delta,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p,wins,ties,losses
hierarchical - raw_softmax,15,0.005255512131668831,0.012492535067652912,2.6326045249565283e-05,0.012109266155346505,0.055808463254266596,9,4,2
prototype - raw_softmax,15,0.0020891429418560406,0.009631173444870064,-0.0019786789429595743,0.0073595513792950725,0.3428288397234035,6,6,3
hierarchical - prototype,15,0.00316636918981279,0.007059669971987167,-2.7012682458342023e-06,0.006741016651492866,0.17629637444051116,5,8,2
