method,n,mean_macro_f1,std_macro_f1,min_macro_f1,max_macro_f1,mean_top1_acc,std_top1_acc,mean_top2_acc,mean_ece,mean_brier,mean_nll
raw_softmax,15,0.9502436893230706,0.013217625824735258,0.9217204301075269,0.9761769710720363,0.9503968253968254,0.01305394437604246,1.0,0.030944658295502747,0.07691362897555033,0.12818853954474133
calibrated_softmax,15,0.9502436893230706,0.013217625824735258,0.9217204301075269,0.9761769710720363,0.9503968253968254,0.01305394437604246,1.0,0.027277884928006976,0.07603206684192022,0.12829057325919468
prototype,15,0.9523328322649266,0.01275378419840185,0.9285309132161088,0.9761769710720363,0.9523809523809523,0.01272672580535354,1.0,0.02553311716469508,0.07022934357325236,0.11769404311974843
hierarchical,15,0.9554992014547394,0.010792536013919921,0.9403409090909091,0.9761769710720363,0.9555555555555555,0.010758287072798392,1.0,0.029312897461747353,0.07141145716110865,0.12826984276374181
fused,15,0.954289240307066,0.009765697188451602,0.9403409090909091,0.9702338766832035,0.9543650793650792,0.009720197391996754,1.0,0.02733572447110736,0.07209263170758883,0.12191209048032761
