model,n,mean_macro_f1,std_macro_f1,min_macro_f1,max_macro_f1,mean_best_val,mean_test_acc,mean_gate,max_gate
logmel,30,0.9177032995794677,0.018437332588740602,0.8815217391304347,0.9523809523809523,0.9370418316940997,0.9186507936507937,,
mctafd_no_se_gated,30,0.9128207891534986,0.019731327943998123,0.8608527131782945,0.9401709401709402,0.9402491001910349,0.913888888888889,0.018240155916040144,0.019496092572808266
