model,n,mean_macro_f1,std_macro_f1,min_macro_f1,max_macro_f1
baseline_logmel,30,0.9177032995794675,0.018437332588740602,0.8815217391304347,0.9523809523809523
pretrain_logmel,30,0.9200767850504415,0.027087889736706925,0.8442363530778165,0.9761904761904763
latefusion_logmel,30,0.9181704596374032,0.018981906516815267,0.8737980769230769,0.9522727272727273
