method,n_runs,macro_f1_from_cm,feeding_f1,stress_f1,feeding_recall,stress_recall,feeding_to_stress,stress_to_feeding
raw_softmax,25,0.9511879857815875,0.9016786570743407,0.9030732860520094,0.8952380952380953,0.9095238095238095,110,95
prototype,25,0.9519003991291728,0.9028846153846154,0.9047169811320754,0.8942857142857142,0.9133333333333333,111,91
hierarchical,25,0.95403009627933,0.9062651772705197,0.9098552078468006,0.8885714285714286,0.9276190476190476,117,76
