experiment,protocol,model,fold,seed,feature_mode,use_se,n_mels,n_mfcc,fmin,fmax,n_fft,hop_length,win_length,sr,dur_s,fusion_type,aux_gate_init,gate_mean,gate_max,boundary_loss_weight,boundary_warmup_epochs,best_epoch,best_val_macro_f1,test_acc,test_macro_f1
cv5_expanded_cap2x_fold1_mctafd_no_se_gated_seed2024,cap2x,mctafd_no_se_gated,1,2024,mctafd,False,64,20,50,8000.0,1024,320,800,32000,1.0,gated,-4.0,0.01816246472299099,0.01869654655456543,0.0,0,6,0.949944382647386,0.9047619047619048,0.9048531203465546
cv5_expanded_cap2x_fold2_mctafd_no_se_gated_seed2024,cap2x,mctafd_no_se_gated,2,2024,mctafd,False,64,20,50,8000.0,1024,320,800,32000,1.0,gated,-4.0,0.018256086390465498,0.018688244745135307,0.0,0,13,0.9412587412587412,0.9345238095238095,0.9340659340659341
cv5_expanded_cap2x_fold3_mctafd_no_se_gated_seed2024,cap2x,mctafd_no_se_gated,3,2024,mctafd,False,64,20,50,8000.0,1024,320,800,32000,1.0,gated,-4.0,0.018176468554884195,0.0186112429946661,0.0,0,6,0.9416504584606835,0.9285714285714286,0.9285309132161088
cv5_expanded_cap2x_fold4_mctafd_no_se_gated_seed2024,cap2x,mctafd_no_se_gated,4,2024,mctafd,False,64,20,50,8000.0,1024,320,800,32000,1.0,gated,-4.0,0.018316583707928658,0.019335363060235977,0.0,0,18,0.949944382647386,0.8988095238095238,0.8984497226568056
cv5_expanded_cap2x_fold0_mctafd_no_se_gated_seed3407,cap2x,mctafd_no_se_gated,0,3407,mctafd,False,64,20,50,8000.0,1024,320,800,32000,1.0,gated,-4.0,0.018254179041832685,0.01914401166141033,0.0,0,3,0.958168456755229,0.9047619047619048,0.9042508993261388
cv5_expanded_cap2x_fold1_mctafd_no_se_gated_seed3407,cap2x,mctafd_no_se_gated,1,3407,mctafd,False,64,20,50,8000.0,1024,320,800,32000,1.0,gated,-4.0,0.018239958211779594,0.01944672502577305,0.0,0,5,0.9583217560433455,0.8928571428571429,0.8927318704625173
cv5_expanded_cap2x_fold2_mctafd_no_se_gated_seed3407,cap2x,mctafd_no_se_gated,2,3407,mctafd,False,64,20,50,8000.0,1024,320,800,32000,1.0,gated,-4.0,0.01827003713697195,0.019323093816637993,0.0,0,18,0.95,0.9345238095238095,0.9344401873137506
cv5_expanded_cap2x_fold3_mctafd_no_se_gated_seed3407,cap2x,mctafd_no_se_gated,3,3407,mctafd,False,64,20,50,8000.0,1024,320,800,32000,1.0,gated,-4.0,0.018548127729445696,0.01960483193397522,0.0,0,19,0.9582289055973267,0.9345238095238095,0.9344401873137504
cv5_expanded_cap2x_fold4_mctafd_no_se_gated_seed3407,cap2x,mctafd_no_se_gated,4,3407,mctafd,False,64,20,50,8000.0,1024,320,800,32000,1.0,gated,-4.0,0.01849359879270196,0.019790640100836754,0.0,0,16,0.9413381472807703,0.8988095238095238,0.898101898101898
cv5_expanded_cap3x_fold0_logmel_seed42,cap3x,logmel,0,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,6,0.9582289055973267,0.9345238095238095,0.9337634408602151
