method,accept_rule,n_runs,mean_coverage,std_coverage,mean_selective_risk,std_selective_risk,min_selective_risk,max_selective_risk
hierarchical_accept_global,accept_global,25,0.935952380952381,0.041463506981280505,0.024117804490305695,0.010860105078112862,0.0067567567567567,0.0481927710843373
hierarchical_accept_per_class,accept_per_class,25,0.9392857142857142,0.03600247482465094,0.031445666636481934,0.011741508592873642,0.0068493150684931,0.0493827160493827
