fold,seed,logmel_dur2,logmel_dur2_hier_w10
0,42,0.9464209780297661,0.9342909970132272
0,123,0.9225202213707961,0.9337634408602151
0,777,0.9404761904761905,0.9279176201372997
0,2024,0.9217204301075269,0.9462380884653676
0,3407,0.921268925739005,0.9340659340659341
1,42,0.946053946053946,0.9644858503782572
1,123,0.9581851799175082,0.9526138308508294
1,777,0.9408010831203601,0.9582801191996595
1,2024,0.9467070529308244,0.9583274273564847
1,3407,0.9396204715353651,0.9580419580419581
2,42,0.9344401873137506,0.9344401873137506
2,123,0.946360153256705,0.9523539421440725
2,777,0.9464209780297661,0.9582801191996594
2,2024,0.9464209780297661,0.9279443751235843
2,3407,0.946360153256705,0.9344401873137506
3,42,0.9403409090909091,0.9462380884653676
3,123,0.9523539421440725,0.9581851799175082
3,777,0.9289464254323692,0.946360153256705
3,2024,0.9404424276800907,0.946053946053946
3,3407,0.946360153256705,0.9523809523809523
4,42,0.9702000851426138,0.9880952380952381
4,123,0.9761904761904763,0.9642654566080544
4,777,0.9821403260099221,0.9880952380952381
4,2024,0.9821403260099221,0.9582801191996594
4,3407,0.9580419580419581,0.9642654566080544
