model,macro_f1_from_cm,feeding_f1,stress_f1,feeding_recall,stress_recall,feeding_to_stress,stress_to_feeding
baseline_logmel,0.918632855275272,0.84473049074819,0.8401253918495298,0.8333333333333334,0.8507936507936508,104,88
pretrain_logmel,0.9205532300495906,0.8450244698205546,0.848297213622291,0.8222222222222222,0.8698412698412699,111,78
latefusion_logmel,0.9191077425185938,0.8423605497170574,0.842023346303502,0.8269841269841269,0.8587301587301587,108,86
