model,n_runs,macro_f1_from_cm,feeding_f1,stress_f1,feeding_recall,stress_recall,feeding_to_stress,stress_to_feeding
logmel,30,0.918632855275272,0.84473049074819,0.8401253918495298,0.8333333333333334,0.8507936507936508,104,88
mctafd_no_se_gated,30,0.913888753896509,0.8325281803542673,0.8325508607198748,0.8206349206349206,0.8444444444444444,112,95
