noise_environment,snr_db,comparison,n,mean_delta,std_delta,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p,wins,ties,losses,condition_family
DWASHING,0.0,prototype - raw_softmax,15,0.008091288198670488,0.017655956563005584,0.00048769000525843837,0.01747683974095511,0.11585149752593006,8,2,5,
DWASHING,0.0,hierarchical - raw_softmax,15,0.0037277936576306367,0.01428811143185812,-0.0024186065895159562,0.011295158801174226,0.47690655496758394,6,4,5,
DWASHING,0.0,hierarchical - prototype,15,-0.004363494541039851,0.005943111613153543,-0.007161243654271196,-0.0014871013609505373,0.03918332724963062,3,2,10,
DWASHING,10.0,prototype - raw_softmax,15,0.00833020523242834,0.015414691051910678,0.0018265042094494633,0.016509783626663967,0.05973901545539241,9,3,3,
DWASHING,10.0,hierarchical - raw_softmax,15,0.011017386655003595,0.017197043679681313,0.004019959571075442,0.020259977899662628,0.0057715890441035304,11,2,2,
DWASHING,10.0,hierarchical - prototype,15,0.002687181422575254,0.006118636317569775,-0.00012101782624162609,0.005779463399809259,0.09260069782067576,8,5,2,
DWASHING,20.0,prototype - raw_softmax,15,0.012788039213156728,0.010927082890763872,0.007265556400860608,0.01793970939198464,0.002976637011170516,11,2,2,
DWASHING,20.0,hierarchical - raw_softmax,15,0.012500458852191598,0.0111236943052094,0.007280581865544467,0.017929601199652798,0.0018714329102470324,12,2,1,
DWASHING,20.0,hierarchical - prototype,15,-0.00028758036096513024,0.006524595073961361,-0.0034347547121893174,0.002791505283921828,1.0,6,4,5,
STRAFFIC,0.0,prototype - raw_softmax,15,0.009620685649826384,0.027644352950821103,-0.0027754285921660214,0.02367263257799025,0.48870849609375,8,0,7,
STRAFFIC,0.0,hierarchical - raw_softmax,15,-0.0037378856124194227,0.023234362648691467,-0.014555671653621672,0.007788040500715189,0.48870849609375,6,0,9,
STRAFFIC,0.0,hierarchical - prototype,15,-0.013358571262245806,0.012252540542976972,-0.01957360765235817,-0.007712413975766965,0.0018714329102470324,1,2,12,
STRAFFIC,10.0,prototype - raw_softmax,15,0.011406768854372846,0.02919106337464976,-0.001366623647432104,0.026595532334127904,0.20942675696103719,7,3,5,
STRAFFIC,10.0,hierarchical - raw_softmax,15,-0.003001198780871439,0.01944315858861303,-0.01215015290945206,0.006478547535448726,0.550923682773407,6,1,8,
STRAFFIC,10.0,hierarchical - prototype,15,-0.014407967635244287,0.014962877594550134,-0.022158667758313256,-0.008075445585188568,0.0009815397525216685,0,1,14,
STRAFFIC,20.0,prototype - raw_softmax,15,0.008537620192914146,0.017030230225685925,0.001136265513800686,0.017378838721599288,0.04986020375690694,9,3,3,
STRAFFIC,20.0,hierarchical - raw_softmax,15,0.006868132734140138,0.01809652014342684,-0.0009216898145414636,0.016178527935312097,0.1401460614684125,10,1,4,
STRAFFIC,20.0,hierarchical - prototype,15,-0.0016694874587740067,0.006226741532603558,-0.004572665321986875,0.00154622191667435,0.39660989914752076,6,1,8,
TBUS,0.0,prototype - raw_softmax,15,0.008968027204132664,0.019599414485504424,0.0005150355448545934,0.019159825691441982,0.13295729296233563,7,2,6,
TBUS,0.0,hierarchical - raw_softmax,15,0.0006648930289171462,0.013936766050394726,-0.005805572496078418,0.007598283581274118,0.93408203125,7,0,8,
TBUS,0.0,hierarchical - prototype,15,-0.008303134175215518,0.009671738080819052,-0.013262741854343459,-0.0038724816467919404,0.01636853923002545,3,4,8,
TBUS,10.0,prototype - raw_softmax,15,0.0036436743388305643,0.012498554820530415,-0.0018506720128827643,0.010048065533219196,0.38235208985751545,8,2,5,
TBUS,10.0,hierarchical - raw_softmax,15,0.005184540650860085,0.013357538511137586,-0.0004982264330374211,0.012187325691594522,0.15793931050013033,8,3,4,
TBUS,10.0,hierarchical - prototype,15,0.0015408663120295208,0.006153292055326307,-0.0008170453944562622,0.0049372920693184,0.26039294361048326,7,6,2,
TBUS,20.0,prototype - raw_softmax,15,0.007103124084832883,0.01194711635637336,0.0018098562246693735,0.013433810161193384,0.026231237263180107,9,4,2,
TBUS,20.0,hierarchical - raw_softmax,15,0.010120200714735501,0.011298097719037122,0.005141282274355906,0.016005542213108317,0.0023655770533978757,12,2,1,
TBUS,20.0,hierarchical - prototype,15,0.003017076629902619,0.0063692420534226845,0.0001940244956410529,0.006357683317411481,0.05046060861109359,9,4,2,
ALL_NOISY,GROUP,prototype - raw_softmax,15,0.008721048107684985,0.014037860287745065,0.002870820790362982,0.01605081345550716,0.00262451171875,13,0,2,all_noisy
ALL_NOISY,GROUP,hierarchical - raw_softmax,15,0.004816035766687506,0.012582513875267771,-0.0005274391039138809,0.011345288876933675,0.22930908203125,9,0,6,all_noisy
ALL_NOISY,GROUP,hierarchical - prototype,15,-0.0039050123409974788,0.003017830733230157,-0.005463752059636028,-0.002506424178326797,0.0001220703125,1,0,14,all_noisy
MODERATE_NOISE,GROUP,prototype - raw_softmax,15,0.008634905319422593,0.01250837884005704,0.003384266509938351,0.015149880279063253,0.0023294396798343325,13,1,1,moderate_noise
MODERATE_NOISE,GROUP,hierarchical - raw_softmax,15,0.007114920137676576,0.01227565908113985,0.0019222902890159543,0.013445834871127608,0.012451171875,12,0,3,moderate_noise
MODERATE_NOISE,GROUP,hierarchical - prototype,15,-0.001519985181746016,0.003570772027760546,-0.0032513262768935902,0.0002349459921557956,0.15142822265625,5,0,10,moderate_noise
EXTREME_STRESS,GROUP,prototype - raw_softmax,15,0.008893333684209836,0.01965079689598882,0.0003857985318003036,0.019004513891854008,0.30279541015625,7,0,8,extreme simulated-noise stress condition
