experiment,model,fold,seed,test_macro_f1,test_acc,test_aux_macro_f1,best_val_macro_f1,best_epoch,hier_aux_weight
cv5_expanded_cap3x_fold3_logmel_dur2_hier_w05_seed42,logmel_dur2_hier_w05,3,42,0.9462380884653676,0.9464285714285714,0.7260744701921172,0.949944382647386,8,0.5
cv5_expanded_cap3x_fold4_logmel_dur2_hier_w05_seed42,logmel_dur2_hier_w05,4,42,0.9702338766832035,0.9702380952380952,0.7733066503656468,0.9666666666666668,9,0.5
cv5_expanded_cap3x_fold0_logmel_dur2_hier_w05_seed123,logmel_dur2_hier_w05,0,123,0.9340659340659341,0.9345238095238095,0.7005430242272347,0.9833333333333334,19,0.5
cv5_expanded_cap3x_fold1_logmel_dur2_hier_w05_seed123,logmel_dur2_hier_w05,1,123,0.9521367521367521,0.9523809523809523,0.7842482447524465,0.9749930536260072,6,0.5
cv5_expanded_cap3x_fold2_logmel_dur2_hier_w05_seed123,logmel_dur2_hier_w05,2,123,0.9523809523809523,0.9523809523809523,0.8679496977425534,0.9833333333333334,29,0.5
cv5_expanded_cap3x_fold3_logmel_dur2_hier_w05_seed123,logmel_dur2_hier_w05,3,123,0.9581851799175082,0.9583333333333334,0.8114319533999937,0.9666666666666668,10,0.5
cv5_expanded_cap3x_fold4_logmel_dur2_hier_w05_seed123,logmel_dur2_hier_w05,4,123,0.9642857142857144,0.9642857142857143,0.7759116923824534,0.9666666666666668,10,0.5
cv5_expanded_cap3x_fold0_logmel_dur2_hier_w05_seed777,logmel_dur2_hier_w05,0,777,0.9464209780297661,0.9464285714285714,0.7239024864024864,0.9833333333333334,11,0.5
cv5_expanded_cap3x_fold1_logmel_dur2_hier_w05_seed777,logmel_dur2_hier_w05,1,777,0.9345145287030475,0.9345238095238095,0.7319593692342313,0.9583217560433455,4,0.5
cv5_expanded_cap3x_fold2_logmel_dur2_hier_w05_seed777,logmel_dur2_hier_w05,2,777,0.9583274273564847,0.9583333333333334,0.8547831452216775,0.9833333333333334,28,0.5
cv5_expanded_cap3x_fold3_logmel_dur2_hier_w05_seed777,logmel_dur2_hier_w05,3,777,0.9521367521367521,0.9523809523809523,0.8526291606462048,0.9666295884315906,18,0.5
cv5_expanded_cap3x_fold4_logmel_dur2_hier_w05_seed777,logmel_dur2_hier_w05,4,777,0.9701322713696487,0.9702380952380952,0.840339562694639,0.974937343358396,15,0.5
cv5_expanded_cap3x_fold0_logmel_dur2_hier_w05_seed2024,logmel_dur2_hier_w05,0,2024,0.946053946053946,0.9464285714285714,0.7772358011014998,0.9833333333333334,21,0.5
cv5_expanded_cap3x_fold1_logmel_dur2_hier_w05_seed2024,logmel_dur2_hier_w05,1,2024,0.9217204301075269,0.9226190476190477,0.6694612541314288,0.9666295884315906,7,0.5
cv5_expanded_cap3x_fold2_logmel_dur2_hier_w05_seed2024,logmel_dur2_hier_w05,2,2024,0.9523539421440725,0.9523809523809523,0.7944448240000607,0.9666666666666668,12,0.5
cv5_expanded_cap3x_fold3_logmel_dur2_hier_w05_seed2024,logmel_dur2_hier_w05,3,2024,0.9523539421440725,0.9523809523809523,0.8127757163471448,0.9666666666666668,14,0.5
cv5_expanded_cap3x_fold4_logmel_dur2_hier_w05_seed2024,logmel_dur2_hier_w05,4,2024,0.9642654566080544,0.9642857142857143,0.7931193818786744,0.9666666666666668,15,0.5
cv5_expanded_cap3x_fold0_logmel_dur2_hier_w05_seed3407,logmel_dur2_hier_w05,0,3407,0.946360153256705,0.9464285714285714,0.8323339592247154,0.9916643512086691,16,0.5
cv5_expanded_cap3x_fold1_logmel_dur2_hier_w05_seed3407,logmel_dur2_hier_w05,1,3407,0.946053946053946,0.9464285714285714,0.7057902682902683,0.9749930536260072,4,0.5
cv5_expanded_cap3x_fold2_logmel_dur2_hier_w05_seed3407,logmel_dur2_hier_w05,2,3407,0.9582801191996594,0.9583333333333334,0.828972838454663,0.9749930536260072,14,0.5
cv5_expanded_cap3x_fold3_logmel_dur2_hier_w05_seed3407,logmel_dur2_hier_w05,3,3407,0.946360153256705,0.9464285714285714,0.8232955674816139,0.9666295884315906,18,0.5
cv5_expanded_cap3x_fold4_logmel_dur2_hier_w05_seed3407,logmel_dur2_hier_w05,4,3407,0.9761769710720363,0.9761904761904762,0.8277113724482147,0.9666666666666668,19,0.5
cv5_expanded_cap3x_fold0_logmel_dur2_hier_w10_seed42,logmel_dur2_hier_w10,0,42,0.9342909970132272,0.9345238095238095,0.7790299306428339,0.9833333333333334,11,1.0
cv5_expanded_cap3x_fold1_logmel_dur2_hier_w10_seed42,logmel_dur2_hier_w10,1,42,0.9644858503782572,0.9642857142857143,0.7728913674540152,0.9749930536260072,8,1.0
cv5_expanded_cap3x_fold2_logmel_dur2_hier_w10_seed42,logmel_dur2_hier_w10,2,42,0.9344401873137506,0.9345238095238095,0.7897346754707115,0.9916643512086691,17,1.0
cv5_expanded_cap3x_fold3_logmel_dur2_hier_w10_seed42,logmel_dur2_hier_w10,3,42,0.9462380884653676,0.9464285714285714,0.7088547490786367,0.9583217560433455,8,1.0
cv5_expanded_cap3x_fold4_logmel_dur2_hier_w10_seed42,logmel_dur2_hier_w10,4,42,0.9880952380952381,0.9880952380952381,0.955573734829054,0.974937343358396,20,1.0
cv5_expanded_cap3x_fold0_logmel_dur2_hier_w10_seed123,logmel_dur2_hier_w10,0,123,0.9337634408602151,0.9345238095238095,0.8154705045860151,0.9833333333333334,20,1.0
cv5_expanded_cap3x_fold1_logmel_dur2_hier_w10_seed123,logmel_dur2_hier_w10,1,123,0.9526138308508294,0.9523809523809523,0.7665194663719644,0.9749930536260072,6,1.0
cv5_expanded_cap3x_fold2_logmel_dur2_hier_w10_seed123,logmel_dur2_hier_w10,2,123,0.9523539421440725,0.9523809523809523,0.8947916625362647,0.9749930536260072,24,1.0
cv5_expanded_cap3x_fold3_logmel_dur2_hier_w10_seed123,logmel_dur2_hier_w10,3,123,0.9581851799175082,0.9583333333333334,0.7957116849725067,0.9749930536260072,19,1.0
cv5_expanded_cap3x_fold4_logmel_dur2_hier_w10_seed123,logmel_dur2_hier_w10,4,123,0.9642654566080544,0.9642857142857143,0.7802985829959513,0.9582289055973267,11,1.0
cv5_expanded_cap3x_fold0_logmel_dur2_hier_w10_seed777,logmel_dur2_hier_w10,0,777,0.9279176201372997,0.9285714285714286,0.8791204408576113,0.9916643512086691,25,1.0
cv5_expanded_cap3x_fold1_logmel_dur2_hier_w10_seed777,logmel_dur2_hier_w10,1,777,0.9582801191996595,0.9583333333333334,0.8108595147420355,0.9666666666666668,6,1.0
cv5_expanded_cap3x_fold2_logmel_dur2_hier_w10_seed777,logmel_dur2_hier_w10,2,777,0.9582801191996594,0.9583333333333334,0.8449564909023964,0.9749930536260072,14,1.0
