model,n,mean_macro_f1,std_macro_f1,min_macro_f1,max_macro_f1,mean_best_val
logmel,25,0.9119200448644631,0.017027731933877768,0.8749822820694543,0.9344401873137506,0.9454417736104231
mctafd_no_se,25,0.9106633159037062,0.019635109916256846,0.8603357151549923,0.9523809523809524,0.9428097526427272
