method,n_runs,macro_f1_from_cm,feeding_f1,stress_f1,feeding_recall,stress_recall,feeding_to_stress,stress_to_feeding
raw_softmax,15,0.9503897944720056,0.899598393574297,0.9019607843137255,0.8888888888888888,0.9126984126984127,70,55
prototype,15,0.9523766328011611,0.903846153846154,0.9056603773584906,0.8952380952380953,0.9142857142857143,66,54
hierarchical,15,0.9555366230518916,0.9092382495948136,0.9129082426127527,0.8904761904761904,0.9317460317460318,69,43
