rank,source_wav,frame_csv,source_start_s,source_end_s,center_s,clip_start_s,clip_end_s,prob_cough,out_wav
16,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,287.0,288.0,287.5,287.0,288.0,0.8373353481292725,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank016_p0.837_src287.00-288.00_clip287.00-288.00.wav
17,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,206.3,207.3,206.8,206.3,207.3,0.8373299241065979,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank017_p0.837_src206.30-207.30_clip206.30-207.30.wav
18,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,158.5,159.5,159.0,158.5,159.5,0.8350215554237366,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank018_p0.835_src158.50-159.50_clip158.50-159.50.wav
19,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,18.1,19.1,18.6,18.1,19.1,0.8339669108390808,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank019_p0.834_src18.10-19.10_clip18.10-19.10.wav
20,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,159.5,160.5,160.0,159.5,160.5,0.8314489126205444,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank020_p0.831_src159.50-160.50_clip159.50-160.50.wav
21,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,306.8,307.8,307.3,306.8,307.8,0.8250371217727661,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank021_p0.825_src306.80-307.80_clip306.80-307.80.wav
22,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,277.0,278.0,277.5,277.0,278.0,0.817294180393219,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank022_p0.817_src277.00-278.00_clip277.00-278.00.wav
23,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,201.2,202.2,201.7,201.2,202.2,0.8143923878669739,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank023_p0.814_src201.20-202.20_clip201.20-202.20.wav
24,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,32.2,33.2,32.7,32.2,33.2,0.8048231601715088,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank024_p0.805_src32.20-33.20_clip32.20-33.20.wav
25,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,7.4,8.4,7.9,7.4,8.4,0.8030276894569397,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank025_p0.803_src7.40-8.40_clip7.40-8.40.wav
26,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,17.2,18.2,17.7,17.2,18.2,0.7950189709663391,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank026_p0.795_src17.20-18.20_clip17.20-18.20.wav
27,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,10.1,11.1,10.6,10.1,11.1,0.7930022478103638,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank027_p0.793_src10.10-11.10_clip10.10-11.10.wav
28,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,0.0,1.0,0.5,0.0,1.0,0.7880947589874268,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank028_p0.788_src0.00-1.00_clip0.00-1.00.wav
29,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,334.4,335.4,334.9,334.4,335.4,0.7824354767799377,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank029_p0.782_src334.40-335.40_clip334.40-335.40.wav
30,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,9.1,10.1,9.6,9.1,10.1,0.7740541696548462,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank030_p0.774_src9.10-10.10_clip9.10-10.10.wav
31,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,186.7,187.7,187.2,186.7,187.7,0.7655916810035706,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank031_p0.766_src186.70-187.70_clip186.70-187.70.wav
32,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,19.0,20.0,19.5,19.0,20.0,0.7600796222686768,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank032_p0.760_src19.00-20.00_clip19.00-20.00.wav
33,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,185.8,186.8,186.3,185.8,186.8,0.7597780823707581,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank033_p0.760_src185.80-186.80_clip185.80-186.80.wav
34,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,231.0,232.0,231.5,231.0,232.0,0.7574492692947388,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank034_p0.757_src231.00-232.00_clip231.00-232.00.wav
35,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,169.9,170.9,170.4,169.9,170.9,0.7561013698577881,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank035_p0.756_src169.90-170.90_clip169.90-170.90.wav
36,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,97.7,98.7,98.2,97.7,98.7,0.7515614032745361,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank036_p0.752_src97.70-98.70_clip97.70-98.70.wav
37,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,45.5,46.5,46.0,45.5,46.5,0.7506183981895447,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank037_p0.751_src45.50-46.50_clip45.50-46.50.wav
38,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,172.8,173.8,173.3,172.8,173.8,0.749198317527771,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank038_p0.749_src172.80-173.80_clip172.80-173.80.wav
39,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,98.4,99.4,98.9,98.4,99.4,0.749073326587677,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank039_p0.749_src98.40-99.40_clip98.40-99.40.wav
40,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,39.7,40.7,40.2,39.7,40.7,0.7470760941505432,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank040_p0.747_src39.70-40.70_clip39.70-40.70.wav
41,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,5.7,6.7,6.2,5.7,6.7,0.7395886182785034,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank041_p0.740_src5.70-6.70_clip5.70-6.70.wav
42,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,1.0,2.0,1.5,1.0,2.0,0.73862224817276,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank042_p0.739_src1.00-2.00_clip1.00-2.00.wav
43,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,160.2,161.2,160.7,160.2,161.2,0.7373294234275818,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank043_p0.737_src160.20-161.20_clip160.20-161.20.wav
44,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,2.4,3.4,2.9,2.4,3.4,0.7361164689064026,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank044_p0.736_src2.40-3.40_clip2.40-3.40.wav
45,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,201.9,202.9,202.4,201.9,202.9,0.7351199388504028,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank045_p0.735_src201.90-202.90_clip201.90-202.90.wav
46,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,170.6,171.6,171.1,170.6,171.6,0.7332347631454468,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank046_p0.733_src170.60-171.60_clip170.60-171.60.wav
47,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,191.6,192.6,192.1,191.6,192.6,0.7306700944900513,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank047_p0.731_src191.60-192.60_clip191.60-192.60.wav
