method,prototype_temperature,softmax_temperature,softmax_weight,hier_aux_prob_weight,fusion_kind,n,top1_acc,macro_f1,top2_acc,ece,brier,nll
raw_softmax,,,,,,120,0.9666666666666667,0.9666666666666668,1.0,0.026057809591293342,0.05222363770008087,0.09099426120519638
calibrated_softmax,,0.5,,,,120,0.9666666666666667,0.9666666666666668,1.0,0.0233938982089361,0.05118059366941452,0.09940303862094879
calibrated_softmax,,0.75,,,,120,0.9666666666666667,0.9666666666666668,1.0,0.012668212751547496,0.05058733746409416,0.08844774216413498
calibrated_softmax,,1.0,,,,120,0.9666666666666667,0.9666666666666668,1.0,0.026057809591293342,0.05222363770008087,0.09099426865577698
calibrated_softmax,,1.5,,,,120,0.9666666666666667,0.9666666666666668,1.0,0.03980358193318048,0.059556469321250916,0.11156050115823746
calibrated_softmax,,2.0,,,,120,0.9666666666666667,0.9666666666666668,1.0,0.08313638021548589,0.07057115435600281,0.14685320854187012
prototype,0.03,,,,,120,0.95,0.949944382647386,1.0,0.03600518455108011,0.07219263166189194,0.1285281777381897
hierarchical,0.03,,,0.5,,120,0.95,0.949944382647386,1.0,0.03989460120598479,0.07382990419864655,0.13355563580989838
prototype,0.05,,,,,120,0.95,0.949944382647386,1.0,0.02933737784624103,0.0661710724234581,0.09953705221414566
hierarchical,0.05,,,0.5,,120,0.95,0.949944382647386,1.0,0.029089765250682863,0.0678914412856102,0.1030021458864212
prototype,0.07,,,,,120,0.95,0.949944382647386,1.0,0.03152898102998734,0.06254584342241287,0.09529319405555725
hierarchical,0.07,,,0.5,,120,0.95,0.949944382647386,1.0,0.038697273035844165,0.06458424031734467,0.09730587154626846
prototype,0.1,,,,,120,0.95,0.949944382647386,1.0,0.034888150791327156,0.06239919364452362,0.10404066741466522
hierarchical,0.1,,,0.5,,120,0.95,0.9497767857142857,1.0,0.02888175398111343,0.06448634713888168,0.10500605404376984
prototype,0.2,,,,,120,0.95,0.949944382647386,1.0,0.07271590878566106,0.08479268103837967,0.1618308573961258
hierarchical,0.2,,,0.5,,120,0.9333333333333333,0.9326599326599327,1.0,0.09280586342016857,0.08780167996883392,0.16479700803756714
prototype,0.5,,,,,120,0.95,0.949944382647386,1.0,0.26728639950354893,0.19190099835395813,0.40716391801834106
hierarchical,0.5,,,0.5,,120,0.925,0.9232736572890025,1.0,0.24340315808852514,0.20372025668621063,0.4220062792301178
prototype,1.0,,,,,120,0.95,0.949944382647386,1.0,0.4671384066343307,0.37956029176712036,0.7404813170433044
hierarchical,1.0,,,0.5,,120,0.875,0.8666666666666667,1.0,0.38702916701634726,0.3927132189273834,0.7583968043327332
fused,0.07,0.75,0.0,0.5,pure_prototype,120,0.95,0.949944382647386,1.0,0.038697273035844165,0.06458424031734467,0.09730587154626846
fused,0.07,0.75,0.25,0.5,mixed,120,0.9583333333333334,0.9583217560433455,1.0,0.0418844277660052,0.059010110795497894,0.09117112308740616
fused,0.07,0.75,0.5,0.5,mixed,120,0.9666666666666667,0.9666666666666668,1.0,0.02381435334682461,0.0548192597925663,0.08732876181602478
fused,0.07,0.75,0.75,0.5,mixed,120,0.9666666666666667,0.9666666666666668,1.0,0.030759577949841816,0.05201166495680809,0.08597778528928757
fused,0.07,0.75,1.0,0.5,pure_softmax,120,0.9666666666666667,0.9666666666666668,1.0,0.012668212751547496,0.05058733746409416,0.08844774216413498
