method,prototype_temperature,softmax_temperature,softmax_weight,hier_aux_prob_weight,fusion_kind,n,top1_acc,macro_f1,top2_acc,ece,brier,nll
raw_softmax,,,,,,120,0.9666666666666667,0.9666666666666668,1.0,0.04311141620079676,0.06448464095592499,0.11133626103401184
calibrated_softmax,,0.5,,,,120,0.9666666666666667,0.9666666666666668,1.0,0.018530117472012837,0.05583544820547104,0.0875268429517746
calibrated_softmax,,0.75,,,,120,0.9666666666666667,0.9666666666666668,1.0,0.04711786905924479,0.05869969353079796,0.09723715484142303
calibrated_softmax,,1.0,,,,120,0.9666666666666667,0.9666666666666668,1.0,0.04311141620079676,0.06448464095592499,0.11133626848459244
calibrated_softmax,,1.5,,,,120,0.9666666666666667,0.9666666666666668,1.0,0.07755129585663477,0.07899010926485062,0.14763040840625763
calibrated_softmax,,2.0,,,,120,0.9666666666666667,0.9666666666666668,1.0,0.11987120856841404,0.09612121433019638,0.19688330590724945
prototype,0.03,,,,,120,0.95,0.9497767857142857,1.0,0.0430279240012169,0.07654625922441483,0.12219775468111038
hierarchical,0.03,,,0.5,,120,0.9416666666666667,0.9412587412587412,1.0,0.035689260065555575,0.08156870305538177,0.1340164989233017
prototype,0.05,,,,,120,0.95,0.9497767857142857,1.0,0.023627399404843645,0.06920363008975983,0.1023699939250946
hierarchical,0.05,,,0.5,,120,0.9416666666666667,0.9412587412587412,1.0,0.027182648579279576,0.07484745979309082,0.11113274842500687
prototype,0.07,,,,,120,0.95,0.9497767857142857,1.0,0.02293973167737325,0.06697177141904831,0.10281988978385925
hierarchical,0.07,,,0.5,,120,0.9416666666666667,0.9412587412587412,1.0,0.02218165347973506,0.0722077339887619,0.10898716002702713
prototype,0.1,,,,,120,0.95,0.9497767857142857,1.0,0.025930163264274594,0.06916018575429916,0.11441455036401749
hierarchical,0.1,,,0.5,,120,0.9416666666666667,0.9412587412587412,1.0,0.02858796368042628,0.07344034314155579,0.11851135641336441
prototype,0.2,,,,,120,0.95,0.9497767857142857,1.0,0.07877129664023717,0.09327669441699982,0.17009630799293518
hierarchical,0.2,,,0.5,,120,0.925,0.9232736572890025,1.0,0.08078756382067998,0.0970618799328804,0.17411795258522034
prototype,0.5,,,,,120,0.95,0.9497767857142857,1.0,0.26091898555556936,0.19100028276443481,0.39883074164390564
hierarchical,0.5,,,0.5,,120,0.9166666666666666,0.9142857142857143,1.0,0.22665007809797924,0.20154324173927307,0.41351160407066345
prototype,1.0,,,,,120,0.95,0.9497767857142857,1.0,0.46155211701989174,0.3731730282306671,0.7289207577705383
hierarchical,1.0,,,0.5,,120,0.8583333333333333,0.8459679855028692,1.0,0.3647158389290174,0.3869004547595978,0.747892439365387
fused,0.07,0.5,0.0,0.5,pure_prototype,120,0.9416666666666667,0.9412587412587412,1.0,0.02218165347973506,0.0722077339887619,0.10898716002702713
fused,0.07,0.5,0.25,0.5,mixed,120,0.9416666666666667,0.9415204678362573,1.0,0.033180363476276405,0.0651065856218338,0.09986799210309982
fused,0.07,0.5,0.5,0.5,mixed,120,0.9583333333333334,0.9583217560433455,1.0,0.03158812522888184,0.06001082435250282,0.09320853650569916
fused,0.07,0.5,0.75,0.5,mixed,120,0.9583333333333334,0.9583217560433455,1.0,0.027623569468657176,0.05692044645547867,0.0888972207903862
fused,0.07,0.5,1.0,0.5,pure_softmax,120,0.9666666666666667,0.9666666666666668,1.0,0.018530117472012837,0.05583544820547104,0.0875268429517746
