noise_environment,snr_db,condition,method,n,top1_acc,macro_f1,top2_acc,ece,brier,nll,global_coverage,selective_risk,feeding_coverage,feeding_selective_risk,stress_vocal_coverage,stress_vocal_selective_risk,macro_f1_degradation_vs_clean,hierarchy_consistency,mean_prototype_distance_margin
clean,clean,clean,raw_softmax,168.0,0.9464285714285714,0.946360153256705,1.0,0.028921615509759826,0.08378985524177551,0.1271175593137741,0.8928571428571429,0.020000000000000018,0.7142857142857143,0.1,0.8571428571428571,0.0,0.0,,
clean,clean,clean,prototype,168.0,0.9464285714285714,0.946360153256705,1.0,0.035535612986201344,0.07600509375333786,0.11830493062734604,0.8988095238095238,0.013245033112582738,0.7380952380952381,0.03225806451612903,0.8571428571428571,0.027777777777777776,0.0,,
clean,clean,clean,hierarchical,168.0,0.9523809523809523,0.9522727272727273,1.0,0.034155312393392846,0.07727450132369995,0.12040235102176666,0.8988095238095238,0.013245033112582738,0.7380952380952381,0.06451612903225806,0.8571428571428571,0.0,0.0,,
clean,clean,clean,fused,168.0,0.9464285714285714,0.946360153256705,1.0,0.028921615509759826,0.08378986269235611,0.1271175593137741,0.8928571428571429,0.020000000000000018,0.7142857142857143,0.1,0.8571428571428571,0.0,0.0,,
clean,clean,clean,hierarchy_audit,,,,,,,,,,,,,,,0.9940476190476191,
DWASHING,20.0,DWASHING_20dB,raw_softmax,168.0,0.7142857142857143,0.6603174603174603,0.8333333333333334,0.24691136163615046,0.5113694071769714,1.4454741477966309,0.8511904761904762,0.25874125874125875,0.6904761904761905,0.10344827586206896,0.8571428571428571,0.0,0.28604269293924467,,
DWASHING,20.0,DWASHING_20dB,prototype,168.0,0.7321428571428571,0.6932588075880759,0.7976190476190477,0.2274956979921886,0.4927724301815033,2.1193013191223145,0.8630952380952381,0.24827586206896557,0.7142857142857143,0.03333333333333333,0.8571428571428571,0.027777777777777776,0.2531013456686291,,
DWASHING,20.0,DWASHING_20dB,hierarchical,168.0,0.7321428571428571,0.6881914893617022,0.8035714285714286,0.2345827211226736,0.5013555884361267,2.091475009918213,0.8630952380952381,0.24827586206896557,0.7142857142857143,0.06666666666666667,0.8571428571428571,0.0,0.2640812379110251,,
DWASHING,20.0,DWASHING_20dB,fused,168.0,0.7142857142857143,0.6603174603174603,0.8333333333333334,0.24691135844304452,0.5113694071769714,1.4454741477966309,0.8511904761904762,0.25874125874125875,0.6904761904761905,0.10344827586206896,0.8571428571428571,0.0,0.28604269293924467,,
DWASHING,20.0,DWASHING_20dB,hierarchy_audit,,,,,,,,,,,,,,,0.9702380952380952,
DWASHING,10.0,DWASHING_10dB,raw_softmax,168.0,0.6666666666666666,0.5994697564807542,0.8095238095238095,0.28984590335970833,0.5877947211265564,1.8359458446502686,0.8809523809523809,0.31081081081081086,0.6666666666666666,0.14285714285714285,0.8571428571428571,0.0,0.3468903967759508,,
DWASHING,10.0,DWASHING_10dB,prototype,168.0,0.6904761904761905,0.61875,0.7559523809523809,0.26642955839633947,0.576647937297821,2.6085140705108643,0.875,0.29931972789115646,0.6666666666666666,0.10714285714285714,0.8571428571428571,0.0,0.32761015325670495,,
DWASHING,10.0,DWASHING_10dB,hierarchical,168.0,0.6904761904761905,0.6194638694638694,0.7559523809523809,0.264579149938765,0.5810419917106628,2.5525617599487305,0.8809523809523809,0.30405405405405406,0.6904761904761905,0.13793103448275862,0.8571428571428571,0.0,0.3328088578088578,,
DWASHING,10.0,DWASHING_10dB,fused,168.0,0.6666666666666666,0.5994697564807542,0.8095238095238095,0.28984590335970833,0.5877947211265564,1.8359458446502686,0.8809523809523809,0.31081081081081086,0.6666666666666666,0.14285714285714285,0.8571428571428571,0.0,0.3468903967759508,,
DWASHING,10.0,DWASHING_10dB,hierarchy_audit,,,,,,,,,,,,,,,0.9821428571428571,
