noise_environment,snr_db,method,n,mean_macro_f1,std_macro_f1,mean_top1_acc,mean_ece,mean_brier,mean_nll,mean_macro_f1_degradation_vs_clean
DWASHING,10.0,fused,1,0.5994697564807542,0.0,0.6666666666666666,0.28984590335970833,0.5877947211265564,1.8359458446502686,0.3468903967759508
DWASHING,10.0,hierarchical,1,0.6194638694638694,0.0,0.6904761904761905,0.264579149938765,0.5810419917106628,2.5525617599487305,0.3328088578088578
DWASHING,10.0,prototype,1,0.61875,0.0,0.6904761904761905,0.26642955839633947,0.576647937297821,2.6085140705108643,0.32761015325670495
DWASHING,10.0,raw_softmax,1,0.5994697564807542,0.0,0.6666666666666666,0.28984590335970833,0.5877947211265564,1.8359458446502686,0.3468903967759508
DWASHING,20.0,fused,1,0.6603174603174603,0.0,0.7142857142857143,0.24691135844304452,0.5113694071769714,1.4454741477966309,0.28604269293924467
DWASHING,20.0,hierarchical,1,0.6881914893617022,0.0,0.7321428571428571,0.2345827211226736,0.5013555884361267,2.091475009918213,0.2640812379110251
DWASHING,20.0,prototype,1,0.6932588075880759,0.0,0.7321428571428571,0.2274956979921886,0.4927724301815033,2.1193013191223145,0.2531013456686291
DWASHING,20.0,raw_softmax,1,0.6603174603174603,0.0,0.7142857142857143,0.24691136163615046,0.5113694071769714,1.4454741477966309,0.28604269293924467
clean,clean,fused,1,0.946360153256705,0.0,0.9464285714285714,0.028921615509759826,0.08378986269235611,0.1271175593137741,0.0
clean,clean,hierarchical,1,0.9522727272727273,0.0,0.9523809523809523,0.034155312393392846,0.07727450132369995,0.12040235102176666,0.0
clean,clean,prototype,1,0.946360153256705,0.0,0.9464285714285714,0.035535612986201344,0.07600509375333786,0.11830493062734604,0.0
clean,clean,raw_softmax,1,0.946360153256705,0.0,0.9464285714285714,0.028921615509759826,0.08378985524177551,0.1271175593137741,0.0
