accept_rule,n_total,n_accepted,coverage,selective_acc,selective_risk
accept_global,168,161,0.9583333333333334,0.968944099378882,0.03105590062111796
accept_per_class,168,162,0.9642857142857143,0.9629629629629629,0.03703703703703709
