noise_environment,snr_db,target_active_snr_db,snr_reference,condition,method,n,top1_acc,macro_f1,top2_acc,ece,brier,nll,frozen_global_threshold,frozen_threshold_coverage,frozen_threshold_selective_risk,frozen_per_class_threshold_coverage,frozen_per_class_threshold_selective_risk,aurc,augrc,risk_at_coverage_0.80,risk_at_coverage_0.90,risk_at_coverage_0.95,cough_precision,cough_recall,cough_f1,cough_support,calm_grunt_precision,calm_grunt_recall,calm_grunt_f1,calm_grunt_support,feeding_precision,feeding_recall,feeding_f1,feeding_support,stress_vocal_precision,stress_vocal_recall,stress_vocal_f1,stress_vocal_support,feeding_to_stress,stress_to_feeding,cough_to_calm_grunt,cough_to_feeding,cough_to_stress_vocal,global_coverage,selective_risk,feeding_coverage,feeding_selective_risk,stress_vocal_coverage,stress_vocal_selective_risk,macro_f1_degradation_vs_clean,hierarchy_consistency,mean_prototype_distance_margin
DWASHING,0.0,0.0,active_valid_region,DWASHING_0dB,hierarchical,168.0,0.7023809523809523,0.6346834091853095,0.7738095238095238,0.26904034295252394,0.569390594959259,2.7581677436828613,0.7210639715194702,0.9464285714285714,0.289308176100629,0.9285714285714286,0.3141025641025641,0.22936652741464536,0.22936652741464533,0.3037037037037037,0.2828947368421053,0.2875,1.0,0.023809523809523808,0.046511627906976744,42.0,1.0,1.0,1.0,42.0,0.9,0.8571428571428571,0.8780487804878049,42.0,0.4588235294117647,0.9285714285714286,0.6141732283464567,42.0,6.0,3.0,0.0,1.0,40.0,0.9464285714285714,0.289308176100629,0.9523809523809523,0.125,0.8809523809523809,0.05405405405405406,0.3176975431956428,,
DWASHING,0.0,0.0,active_valid_region,DWASHING_0dB,fused,168.0,0.7023809523809523,0.6346834091853095,0.7797619047619048,0.2682772952885855,0.570245623588562,2.1772704124450684,0.8035783767700195,0.9345238095238095,0.29299363057324845,0.9345238095238095,0.3121019108280255,0.2053745080585606,0.2053745080585606,0.28888888888888886,0.2828947368421053,0.2875,1.0,0.023809523809523808,0.046511627906976744,42.0,1.0,1.0,1.0,42.0,0.9,0.8571428571428571,0.8780487804878049,42.0,0.4588235294117647,0.9285714285714286,0.6141732283464567,42.0,6.0,3.0,0.0,1.0,40.0,0.9345238095238095,0.29299363057324845,0.9285714285714286,0.10256410256410256,0.8571428571428571,0.05555555555555555,0.3176975431956428,,
DWASHING,0.0,,,DWASHING_0dB,hierarchy_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9940476190476191,
TBUS,20.0,20.0,active_valid_region,TBUS_20dB,raw_softmax,168.0,0.7738095238095238,0.753968253968254,0.8571428571428571,0.21112299462159476,0.4304686188697815,1.4405996799468994,0.8309492468833923,0.9404761904761905,0.2215189873417721,0.8928571428571429,0.2533333333333333,0.11103982060331997,0.11103982060331997,0.20740740740740737,0.21052631578947367,0.21875,1.0,0.2857142857142857,0.4444444444444444,42.0,1.0,1.0,1.0,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,0.5277777777777778,0.9047619047619048,0.6666666666666666,42.0,4.0,4.0,0.0,0.0,30.0,0.9404761904761905,0.2215189873417721,0.9285714285714286,0.05128205128205128,0.8571428571428571,0.08333333333333333,0.19841269841269837,,
TBUS,20.0,20.0,active_valid_region,TBUS_20dB,prototype,168.0,0.7738095238095238,0.753968253968254,0.8333333333333334,0.20502892030136924,0.43187063932418823,2.065714120864868,0.738779604434967,0.9583333333333334,0.22981366459627328,0.9226190476190477,0.2451612903225806,0.1431803231196188,0.14318032311961884,0.20740740740740737,0.2171052631578947,0.22499999999999998,1.0,0.2857142857142857,0.4444444444444444,42.0,1.0,1.0,1.0,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,0.5277777777777778,0.9047619047619048,0.6666666666666666,42.0,4.0,4.0,0.0,0.0,30.0,0.9583333333333334,0.22981366459627328,0.9523809523809523,0.075,0.8809523809523809,0.10810810810810811,0.19841269841269837,,
TBUS,20.0,20.0,active_valid_region,TBUS_20dB,hierarchical,168.0,0.7738095238095238,0.753968253968254,0.8392857142857143,0.19382660977897195,0.431026816368103,1.9651063680648804,0.7210639715194702,0.9702380952380952,0.22699386503067487,0.9285714285714286,0.2435897435897436,0.14286290562986856,0.14286290562986853,0.20740740740740737,0.22368421052631582,0.22499999999999998,1.0,0.2857142857142857,0.4444444444444444,42.0,1.0,1.0,1.0,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,0.5277777777777778,0.9047619047619048,0.6666666666666666,42.0,4.0,4.0,0.0,0.0,30.0,0.9702380952380952,0.22699386503067487,0.9285714285714286,0.07692307692307693,0.9523809523809523,0.1,0.19841269841269837,,
TBUS,20.0,20.0,active_valid_region,TBUS_20dB,fused,168.0,0.7738095238095238,0.753968253968254,0.8571428571428571,0.20539142652636483,0.43011242151260376,1.4804316759109497,0.8035783767700195,0.9523809523809523,0.21875,0.8988095238095238,0.2516556291390728,0.12841214521588462,0.12841214521588462,0.20740740740740737,0.2171052631578947,0.21875,1.0,0.2857142857142857,0.4444444444444444,42.0,1.0,1.0,1.0,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,0.5277777777777778,0.9047619047619048,0.6666666666666666,42.0,4.0,4.0,0.0,0.0,30.0,0.9523809523809523,0.21875,0.9285714285714286,0.05128205128205128,0.9047619047619048,0.07894736842105263,0.19841269841269837,,
TBUS,20.0,,,TBUS_20dB,hierarchy_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
TBUS,10.0,10.0,active_valid_region,TBUS_10dB,raw_softmax,168.0,0.7083333333333334,0.6398183831672204,0.7738095238095238,0.2791740567911239,0.5596908330917358,2.1336605548858643,0.8309492468833923,0.9345238095238095,0.29299363057324845,0.9285714285714286,0.3012820512820513,0.1696753755913523,0.1696753755913523,0.28888888888888886,0.2828947368421053,0.29374999999999996,1.0,0.023809523809523808,0.046511627906976744,42.0,1.0,1.0,1.0,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,0.4578313253012048,0.9047619047619048,0.608,42.0,4.0,4.0,0.0,0.0,41.0,0.9345238095238095,0.29299363057324845,0.9047619047619048,0.05263157894736842,0.8571428571428571,0.08333333333333333,0.31256256921373193,,
TBUS,10.0,10.0,active_valid_region,TBUS_10dB,prototype,168.0,0.7083333333333334,0.6387785970882964,0.7678571428571429,0.26105580727259325,0.5628452897071838,3.0140538215637207,0.738779604434967,0.9583333333333334,0.2919254658385093,0.9226190476190477,0.3032258064516129,0.22470482154966892,0.22470482154966892,0.2962962962962963,0.29605263157894735,0.29374999999999996,1.0,0.023809523809523808,0.046511627906976744,42.0,1.0,1.0,1.0,42.0,0.8863636363636364,0.9285714285714286,0.9069767441860465,42.0,0.4567901234567901,0.8809523809523809,0.6016260162601627,42.0,3.0,5.0,0.0,0.0,41.0,0.9583333333333334,0.2919254658385093,0.9523809523809523,0.075,0.8809523809523809,0.08108108108108109,0.3136023552926559,,
