method,prototype_temperature,softmax_temperature,softmax_weight,hier_aux_prob_weight,fusion_kind,n,top1_acc,macro_f1,top2_acc,ece,brier,nll
raw_softmax,,,,,,120,0.95,0.949944382647386,1.0,0.018036265671253243,0.07319007068872452,0.1234232559800148
calibrated_softmax,,0.5,,,,120,0.95,0.949944382647386,1.0,0.03018736739953359,0.07670112699270248,0.1408035010099411
calibrated_softmax,,0.75,,,,120,0.95,0.949944382647386,1.0,0.025790940721829768,0.07336089015007019,0.12169790267944336
calibrated_softmax,,1.0,,,,120,0.95,0.949944382647386,1.0,0.018036265671253243,0.07319007068872452,0.1234232634305954
calibrated_softmax,,1.5,,,,120,0.95,0.949944382647386,1.0,0.05608350336551665,0.08045599609613419,0.15521253645420074
calibrated_softmax,,2.0,,,,120,0.95,0.949944382647386,1.0,0.10515104631582894,0.09671353548765182,0.21034877002239227
prototype,0.03,,,,,120,0.9416666666666667,0.9416504584606835,1.0,0.04018063545227052,0.0856199711561203,0.19024385511875153
hierarchical,0.03,,,0.5,,120,0.95,0.949944382647386,1.0,0.039413678646087594,0.07972316443920135,0.18133202195167542
prototype,0.05,,,,,120,0.9416666666666667,0.9416504584606835,1.0,0.027949080864588395,0.07906775921583176,0.14055660367012024
hierarchical,0.05,,,0.5,,120,0.95,0.949944382647386,1.0,0.030994572242101077,0.07580455392599106,0.1372331976890564
prototype,0.07,,,,,120,0.9416666666666667,0.9416504584606835,1.0,0.012939942876497907,0.07665101438760757,0.12952372431755066
hierarchical,0.07,,,0.5,,120,0.95,0.949944382647386,1.0,0.019710531334082317,0.07529428601264954,0.12932699918746948
prototype,0.1,,,,,120,0.9416666666666667,0.9416504584606835,1.0,0.03506192614634832,0.07839376479387283,0.13533462584018707
hierarchical,0.1,,,0.5,,120,0.95,0.949944382647386,1.0,0.04074882715940479,0.07948873937129974,0.138077512383461
prototype,0.2,,,,,120,0.9416666666666667,0.9416504584606835,1.0,0.07910425414641699,0.10502739995718002,0.18977336585521698
hierarchical,0.2,,,0.5,,120,0.9333333333333333,0.9326599326599327,1.0,0.07195118467013041,0.11157365143299103,0.19671039283275604
prototype,0.5,,,,,120,0.9416666666666667,0.9416504584606835,1.0,0.2632961089412372,0.2049153596162796,0.41828542947769165
hierarchical,0.5,,,0.5,,120,0.9083333333333333,0.905145156654211,1.0,0.2308589448531469,0.21748943626880646,0.4346122145652771
prototype,1.0,,,,,120,0.9416666666666667,0.9416504584606835,1.0,0.459495448321104,0.38384559750556946,0.7433273196220398
hierarchical,1.0,,,0.5,,120,0.7583333333333333,0.6846683581007611,1.0,0.34210820694764454,0.3985525071620941,0.7631755471229553
fused,0.07,0.75,0.0,0.5,pure_prototype,120,0.95,0.949944382647386,1.0,0.019710531334082317,0.07529428601264954,0.12932699918746948
fused,0.07,0.75,0.25,0.5,mixed,120,0.9416666666666667,0.9416504584606835,1.0,0.030171393851439195,0.0726780891418457,0.1240517646074295
fused,0.07,0.75,0.5,0.5,mixed,120,0.95,0.95,1.0,0.009071835875511173,0.0714837834239006,0.12095499038696289
fused,0.07,0.75,0.75,0.5,mixed,120,0.9583333333333334,0.9583217560433455,1.0,0.02699317137400313,0.07171138375997543,0.12001045793294907
fused,0.07,0.75,1.0,0.5,pure_softmax,120,0.95,0.949944382647386,1.0,0.025790940721829768,0.07336089015007019,0.12169790267944336
