method,prototype_temperature,softmax_temperature,softmax_weight,hier_aux_prob_weight,fusion_kind,n,top1_acc,macro_f1,top2_acc,ece,brier,nll
raw_softmax,,,,,,120,0.9666666666666667,0.9666295884315906,1.0,0.033491104344526956,0.06516340374946594,0.12092851102352142
calibrated_softmax,,0.5,,,,120,0.9666666666666667,0.9666295884315906,1.0,0.028102081020673117,0.058785274624824524,0.12000948935747147
calibrated_softmax,,0.75,,,,120,0.9666666666666667,0.9666295884315906,1.0,0.025848560531934094,0.0610247403383255,0.11180245131254196
calibrated_softmax,,1.0,,,,120,0.9666666666666667,0.9666295884315906,1.0,0.033491104344526956,0.06516340374946594,0.12092851102352142
calibrated_softmax,,1.5,,,,120,0.9666666666666667,0.9666295884315906,1.0,0.08904535695910452,0.07965655624866486,0.1623748391866684
calibrated_softmax,,2.0,,,,120,0.9666666666666667,0.9666295884315906,1.0,0.135719882696867,0.10126527398824692,0.22252397239208221
prototype,0.03,,,,,120,0.975,0.9749930536260072,1.0,0.022126736740271262,0.04755561053752899,0.09221100062131882
hierarchical,0.03,,,0.5,,120,0.975,0.9749930536260072,1.0,0.015605297684669537,0.04822631925344467,0.09411288797855377
prototype,0.05,,,,,120,0.975,0.9749930536260072,1.0,0.03089126149813337,0.04824365675449371,0.0897974818944931
hierarchical,0.05,,,0.5,,120,0.975,0.9749930536260072,1.0,0.021437683204809856,0.048933014273643494,0.09201359003782272
prototype,0.07,,,,,120,0.975,0.9749930536260072,1.0,0.04094505111376443,0.05438234284520149,0.10589217394590378
hierarchical,0.07,,,0.5,,120,0.975,0.9749930536260072,1.0,0.042217197020848585,0.055333394557237625,0.10855082422494888
prototype,0.1,,,,,120,0.975,0.9749930536260072,1.0,0.07307594368855158,0.06889680027961731,0.13541606068611145
hierarchical,0.1,,,0.5,,120,0.975,0.9749930536260072,1.0,0.07477434525887171,0.07098831236362457,0.13897527754306793
prototype,0.2,,,,,120,0.975,0.9749930536260072,1.0,0.14566255410512288,0.11975814402103424,0.2191910594701767
hierarchical,0.2,,,0.5,,120,0.975,0.9749930536260072,1.0,0.1486979385217031,0.12558415532112122,0.2259366810321808
prototype,0.5,,,,,120,0.975,0.9749930536260072,1.0,0.32830331226189935,0.23611797392368317,0.4670693576335907
hierarchical,0.5,,,0.5,,120,0.875,0.8666666666666667,1.0,0.2291153388718764,0.2506380081176758,0.4822534918785095
prototype,1.0,,,,,120,0.975,0.9749930536260072,1.0,0.5079465225338935,0.4066561460494995,0.7773453593254089
hierarchical,1.0,,,0.5,,120,0.75,0.6666666666666666,1.0,0.30270444651444756,0.41807669401168823,0.7924309968948364
fused,0.05,0.75,0.0,0.5,pure_prototype,120,0.975,0.9749930536260072,1.0,0.021437683204809856,0.048933014273643494,0.09201359003782272
fused,0.05,0.75,0.25,0.5,mixed,120,0.975,0.9749930536260072,1.0,0.018394123017787936,0.050665441900491714,0.09544078260660172
fused,0.05,0.75,0.5,0.5,mixed,120,0.975,0.9749930536260072,1.0,0.019555578629175827,0.05325821787118912,0.09969834238290787
fused,0.05,0.75,0.75,0.5,mixed,120,0.975,0.9749930536260072,1.0,0.02496202339728676,0.05671131610870361,0.10500527173280716
fused,0.05,0.75,1.0,0.5,pure_softmax,120,0.9666666666666667,0.9666295884315906,1.0,0.025848560531934094,0.0610247403383255,0.11180245131254196
