accept_rule,n_total,n_accepted,coverage,selective_acc,selective_risk
accept_global,168,158,0.9404761904761905,0.9683544303797469,0.03164556962025311
accept_per_class,168,165,0.9821428571428571,0.9575757575757575,0.042424242424242475
