noise_environment,snr_db,comparison,n_folds,fold_level_mean_delta,fold_level_std_delta,fold_cluster_bootstrap_ci95_low,fold_cluster_bootstrap_ci95_high,fold_level_wins,fold_level_ties,fold_level_losses,wilcoxon_on_5_fold_means_low_power
ALL_NOISY,GROUP,prototype - raw_softmax,5,0.00575500711050164,0.010286048662823084,-0.0005336426335030219,0.014621894973668757,4,0,1,0.3125
ALL_NOISY,GROUP,hierarchical - raw_softmax,5,0.0027100588039654337,0.009138574505020251,-0.003510389395993587,0.0106315832995716,3,0,2,0.625
ALL_NOISY,GROUP,hierarchical - prototype,5,-0.0030449483065362057,0.0020152313665816645,-0.004606953026959006,-0.0014829435861134054,0,0,5,0.0625
MODERATE_NOISE,GROUP,prototype - raw_softmax,5,0.006129024680793042,0.007116584753203672,0.0021018002720470767,0.012432345825643894,5,0,0,0.0625
MODERATE_NOISE,GROUP,hierarchical - raw_softmax,5,0.00495030172246882,0.007545844822094701,0.0007804532739645696,0.01165079164289751,4,0,1,0.125
MODERATE_NOISE,GROUP,hierarchical - prototype,5,-0.0011787229583242232,0.0009346649234296582,-0.0019096489224668689,-0.0004477969941815774,0,0,5,0.0625
EXTREME_STRESS,GROUP,prototype - raw_softmax,5,0.005006971969918882,0.0170804309903903,-0.006000346460107142,0.018891140143118195,2,0,3,1.0
EXTREME_STRESS,GROUP,hierarchical - raw_softmax,5,-0.0017704270330413416,0.013322376016776855,-0.012460385030588971,0.008593166612919863,2,0,3,0.625
EXTREME_STRESS,GROUP,hierarchical - prototype,5,-0.006777399002960224,0.006140960300330065,-0.011868229901016413,-0.0023919997889599244,0,0,5,0.0625
