noise_environment,snr_db,method,labels,confusion_matrix,cough_precision,cough_recall,cough_f1,calm_grunt_precision,calm_grunt_recall,calm_grunt_f1,feeding_precision,feeding_recall,feeding_f1,stress_vocal_precision,stress_vocal_recall,stress_vocal_f1,macro_f1_from_cm,feeding_to_stress,stress_to_feeding,cough_to_calm_grunt,cough_to_feeding,cough_to_stress_vocal,condition_family
STRAFFIC,0.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[0, 162, 0, 888], [0, 1048, 0, 2], [0, 123, 231, 696], [2, 29, 2, 1017]]",0.0,0.0,0.0,0.7694566813509545,0.9980952380952381,0.868988391376451,0.9914163090128756,0.22,0.36009353078721745,0.3907030349596619,0.9685714285714285,0.5568026279770052,0.4464711375351684,696,2,162,0,888,
STRAFFIC,0.0,prototype,cough|calm_grunt|feeding|stress_vocal,"[[0, 179, 0, 871], [0, 1048, 0, 2], [0, 135, 271, 644], [2, 31, 2, 1015]]",0.0,0.0,0.0,0.7523330940416367,0.9980952380952381,0.8579615227179699,0.9926739926739927,0.2580952380952381,0.40967498110355255,0.40086887835703,0.9666666666666667,0.5667225013958683,0.4585897513043477,644,2,179,0,871,
STRAFFIC,0.0,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[0, 71, 0, 979], [0, 1047, 0, 3], [0, 102, 231, 717], [0, 18, 4, 1028]]",0.0,0.0,0.0,0.845718901453958,0.9971428571428571,0.9152097902097901,0.9829787234042553,0.22,0.3595330739299611,0.376971030436377,0.979047619047619,0.5443473656341011,0.45477255744346307,717,4,71,0,979,
STRAFFIC,10.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[1, 5, 0, 1044], [0, 1050, 0, 0], [0, 3, 730, 317], [0, 0, 41, 1009]]",1.0,0.0009523809523809524,0.0019029495718363462,0.9924385633270322,1.0,0.9962049335863379,0.9468223086900129,0.6952380952380952,0.8017572762218561,0.42573839662447255,0.960952380952381,0.5900584795321637,0.5974809097280485,317,41,5,0,1044,
STRAFFIC,10.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[1, 6, 0, 1043], [0, 1050, 0, 0], [0, 2, 694, 354], [0, 0, 38, 1012]]",1.0,0.0009523809523809524,0.0019029495718363462,0.9924385633270322,1.0,0.9962049335863379,0.9480874316939891,0.660952380952381,0.7789001122334456,0.4200913242009132,0.9638095238095238,0.5851402139346631,0.5905370523315707,354,38,6,0,1043,
STRAFFIC,10.0,prototype,cough|calm_grunt|feeding|stress_vocal,"[[0, 9, 0, 1041], [0, 1050, 0, 0], [0, 2, 754, 294], [0, 0, 42, 1008]]",0.0,0.0,0.0,0.9896324222431668,1.0,0.994789199431549,0.9472361809045227,0.7180952380952381,0.8169014084507044,0.43021766965428937,0.96,0.5941644562334217,0.6014637660289188,294,42,9,0,1041,
STRAFFIC,10.0,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 1050], [0, 1050, 0, 0], [0, 3, 724, 323], [0, 0, 41, 1009]]",0.0,0.0,0.0,0.9971509971509972,1.0,0.9985734664764622,0.9464052287581699,0.6895238095238095,0.7977961432506887,0.4235936188077246,0.960952380952381,0.5879953379953381,0.5960912369306223,323,41,0,0,1050,
STRAFFIC,20.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 1050], [0, 1050, 0, 0], [0, 0, 904, 146], [0, 0, 83, 967]]",0.0,0.0,0.0,1.0,1.0,1.0,0.9159067882472138,0.8609523809523809,0.8875797741777124,0.44706426259824317,0.920952380952381,0.6019296607531901,0.6223773587327256,146,83,0,0,1050,
STRAFFIC,20.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 1050], [0, 1050, 0, 0], [0, 0, 888, 162], [0, 0, 66, 984]]",0.0,0.0,0.0,1.0,1.0,1.0,0.9308176100628931,0.8457142857142858,0.8862275449101796,0.44808743169398907,0.9371428571428572,0.6062846580406654,0.6231280507377113,162,66,0,0,1050,
STRAFFIC,20.0,prototype,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 1050], [0, 1050, 0, 0], [0, 0, 907, 143], [0, 0, 81, 969]]",0.0,0.0,0.0,1.0,1.0,1.0,0.9180161943319838,0.8638095238095238,0.8900883218842002,0.44819611470860315,0.9228571428571428,0.6033623910336239,0.623362678229456,143,81,0,0,1050,
