accept_rule,n_total,n_accepted,coverage,selective_acc,selective_risk
accept_global,168,146,0.8690476190476191,0.9863013698630136,0.013698630136986356
accept_per_class,168,143,0.8511904761904762,0.986013986013986,0.013986013986013957
