noise_environment,target_active_snr_db,snr_reference,y_true,n,active_snr_mean,active_snr_std,active_snr_min,active_snr_max,full_window_snr_mean,full_window_snr_std,full_window_snr_min,full_window_snr_max,valid_duration_ratio_mean,valid_duration_ratio_std
DWASHING,0.0,active_valid_region,calm_grunt,42,6.430102457376709e-09,2.0620776239044997e-07,-4.2850702454089917e-07,3.5632833591561637e-07,6.430102457376709e-09,2.0620776239044997e-07,-4.2850702454089917e-07,3.5632833591561637e-07,1.0,0.0
DWASHING,0.0,active_valid_region,cough,42,-3.048924562547838e-08,2.3248201356562528e-07,-4.0240138175220193e-07,4.587176070227029e-07,-6.989650956302618,2.6668200814396723,-16.9445258060667,-3.1171397230792453,0.2251116071428571,0.05747741041343353
DWASHING,0.0,active_valid_region,feeding,42,5.9080072133996066e-08,1.983371760372561e-07,-2.8988040543742744e-07,4.4837253779760236e-07,-0.0033773831118330813,0.017147394692709105,-0.10961971249326585,4.4837253779760236e-07,0.9997548363095238,0.0007949521583473086
DWASHING,0.0,active_valid_region,stress_vocal,42,-2.457230807882825e-08,2.0939753939208946e-07,-4.1508419886692013e-07,3.7635394497243683e-07,-0.00017799101986942805,0.0006747719200973189,-0.00417040984498882,3.6855147919968867e-07,0.9999665178571429,6.880986069920326e-05
DWASHING,10.0,active_valid_region,calm_grunt,42,10.000000034327186,2.0821469135960255e-07,9.999999683179956,10.000000349434563,10.000000034327186,2.0821469135960255e-07,9.999999683179956,10.000000349434563,1.0,0.0
DWASHING,10.0,active_valid_region,cough,42,9.999999958307743,2.0567794258504926e-07,9.999999626996866,10.000000356878289,3.010349032530796,2.6668200185406143,-6.9445256431680535,6.882860423503679,0.2251116071428571,0.05747741041343353
DWASHING,10.0,active_valid_region,feeding,42,10.000000025357602,2.3787350898500788e-07,9.999999563549654,10.000000418092691,9.996622583205422,0.01714743140638414,9.890380144927114,10.000000418092691,0.9997548363095238,0.0007949521583473086
DWASHING,10.0,active_valid_region,stress_vocal,42,9.999999922206602,1.974295675001015e-07,9.999999559441594,10.000000335466943,9.999821955757822,0.0006748278916454028,9.995829033062956,10.000000254731706,0.9999665178571429,6.880986069920326e-05
DWASHING,20.0,active_valid_region,calm_grunt,42,20.000000003936464,2.1747539583836347e-07,19.999999623687568,20.000000389892314,20.000000003936464,2.1747539583836347e-07,19.999999623687568,20.000000389892314,1.0,0.0
DWASHING,20.0,active_valid_region,cough,42,20.000000051618855,2.0946343717630797e-07,19.999999550974152,20.000000409824914,13.010349126690604,2.666820088211333,3.0554744510690233,16.88286098261609,0.2251116071428571,0.05747741041343353
DWASHING,20.0,active_valid_region,feeding,42,20.000000022803043,1.8046737876852016e-07,19.999999652284938,20.000000348225665,19.996622580607024,0.017147365604444353,19.890380489456017,20.000000348225665,0.9997548363095238,0.0007949521583473086
DWASHING,20.0,active_valid_region,stress_vocal,42,20.00000004139168,1.8344694361385443e-07,19.99999960827145,20.000000383810658,19.99982207493993,0.0006747573250692141,19.995829593356987,20.000000383810658,0.9999665178571429,6.880986069920326e-05
STRAFFIC,0.0,active_valid_region,calm_grunt,42,-8.871445963439428e-09,2.0949604273230695e-07,-4.3481689333713884e-07,3.9502098443758497e-07,-8.871445963439428e-09,2.0949604273230695e-07,-4.3481689333713884e-07,3.9502098443758497e-07,1.0,0.0
STRAFFIC,0.0,active_valid_region,cough,42,-2.183146672775407e-08,1.8036259377893072e-07,-3.2581039082751605e-07,3.972162256700517e-07,-6.802112108243482,1.5837843690513091,-9.44715841815244,-3.864659489884282,0.2251116071428571,0.05747741041343353
STRAFFIC,0.0,active_valid_region,feeding,42,-6.435126096472822e-08,2.2785174699431178e-07,-4.732107833897452e-07,3.791705583002117e-07,-0.000974834765336349,0.003185450174958113,-0.01458244518266352,3.791705583002117e-07,0.9997548363095238,0.0007949521583473086
STRAFFIC,0.0,active_valid_region,stress_vocal,42,2.6760614811960843e-08,2.1356682121476566e-07,-4.079754599589587e-07,4.5291903491038307e-07,-0.00013314531660221294,0.00034246143356423195,-0.001854579136333572,3.9783066424513974e-07,0.9999665178571429,6.880986069920326e-05
STRAFFIC,10.0,active_valid_region,calm_grunt,42,9.999999932532944,2.2004854520016424e-07,9.999999582155096,10.000000422101982,9.999999932532944,2.2004854520016424e-07,9.999999582155096,10.000000422101982,1.0,0.0
STRAFFIC,10.0,active_valid_region,cough,42,9.999999971364355,2.049445682661598e-07,9.999999548720536,10.000000352863038,3.1978878842814,1.583784358751889,0.5528417227749435,6.13534041705413,0.2251116071428571,0.05747741041343353
STRAFFIC,10.0,active_valid_region,feeding,42,10.000000007400786,1.9458202405071734e-07,9.999999678860071,10.000000461031426,9.99902523697752,0.00318542805713965,9.985417481638251,10.000000461031426,0.9997548363095238,0.0007949521583473086
STRAFFIC,10.0,active_valid_region,stress_vocal,42,9.999999963005873,2.3165900770203205e-07,9.999999588405778,10.000000406531651,9.999866790929644,0.00034254186777101734,9.99814479575025,10.000000406531651,0.9999665178571429,6.880986069920326e-05
STRAFFIC,20.0,active_valid_region,calm_grunt,42,20.00000003172467,2.428287876925718e-07,19.999999603431696,20.000000435137753,20.00000003172467,2.428287876925718e-07,19.999999603431696,20.000000435137753,1.0,0.0
STRAFFIC,20.0,active_valid_region,cough,42,19.999999955583522,2.1640791019214625e-07,19.99999955977618,20.0000003622019,13.197887868498691,1.5837843813903927,10.552841578547909,16.135340509009062,0.2251116071428571,0.05747741041343353
