start_s,end_s,duration_s,max_prob,mean_prob,n_frames
3.5,4.5,1.0,0.630094051361084,0.630094051361084,1
3.5999999046325684,4.599999904632568,1.0,0.7215016484260559,0.7215016484260559,1
3.700000047683716,4.700000047683716,1.0,0.7756031155586243,0.7756031155586243,1
3.799999952316284,4.799999952316284,1.0,0.8241863250732422,0.8241863250732422,1
3.9000000953674316,4.900000095367432,1.0,0.8556202054023743,0.8556202054023743,1
4.0,5.0,1.0,0.8843021988868713,0.8843021988868713,1
4.099999904632568,5.099999904632568,1.0,0.8996690511703491,0.8996690511703491,1
4.199999809265137,5.199999809265137,1.0,0.9042559266090393,0.9042559266090393,1
4.300000190734863,5.300000190734863,1.0,0.7850653529167175,0.7850653529167175,1
4.400000095367432,5.400000095367432,1.0,0.6279414892196655,0.6279414892196655,1
25.799999237060547,26.799999237060547,1.0,0.6773402690887451,0.6773402690887451,1
25.899999618530273,26.899999618530273,1.0,0.8916200995445251,0.8916200995445251,1
26.0,27.0,1.0,0.9088695645332336,0.9088695645332336,1
26.100000381469727,27.100000381469727,1.0,0.9252877235412598,0.9252877235412598,1
26.200000762939453,27.200000762939453,1.0,0.9360619783401489,0.9360619783401489,1
26.299999237060547,27.299999237060547,1.0,0.9375991821289062,0.9375991821289062,1
26.399999618530273,27.399999618530273,1.0,0.9376498460769653,0.9376498460769653,1
26.5,27.5,1.0,0.9472576379776001,0.9472576379776001,1
26.600000381469727,27.600000381469727,1.0,0.9550330638885498,0.9550330638885498,1
26.700000762939453,27.700000762939453,1.0,0.9528928995132446,0.9528928995132446,1
26.799999237060547,27.799999237060547,1.0,0.8251014947891235,0.8251014947891235,1
26.899999618530273,27.899999618530273,1.0,0.6459167003631592,0.6459167003631592,1
28.200000762939453,29.200000762939453,1.0,0.688274621963501,0.688274621963501,1
28.299999237060547,29.299999237060547,1.0,0.7134396433830261,0.7134396433830261,1
28.399999618530273,29.399999618530273,1.0,0.7501320838928223,0.7501320838928223,1
28.5,29.5,1.0,0.8323376178741455,0.8323376178741455,1
28.600000381469727,29.600000381469727,1.0,0.914731502532959,0.914731502532959,1
28.700000762939453,29.700000762939453,1.0,0.9596362113952637,0.9596362113952637,1
28.799999237060547,29.799999237060547,1.0,0.9566873908042908,0.9566873908042908,1
28.899999618530273,29.899999618530273,1.0,0.9584074020385742,0.9584074020385742,1
29.0,30.0,1.0,0.9629361629486084,0.9629361629486084,1
29.100000381469727,30.100000381469727,1.0,0.9711354970932007,0.9711354970932007,1
29.200000762939453,30.200000762939453,1.0,0.9738479852676392,0.9738479852676392,1
29.299999237060547,30.299999237060547,1.0,0.9732048511505127,0.9732048511505127,1
