fold,seed,B0,B1,B2,B3,B3_raw_softmax,B3_single_fold_debug,lambda,B0_source,B1_source,B2_source,B3_source,B3_metadata_source,leakage_audit_source
2,42,0.9342909970132272,0.9344401873137506,0.9464209780297661,0.9464209780297661,0.9464209780297661,False,0.5,reports/cv5_expanded_cap3x_fold2_logmel_seed42/summary.json,reports/cv5_expanded_cap3x_fold2_logmel_dur2_seed42/summary.json,reports/cv5_expanded_cap3x_fold2_logmel_dur2_hier_w05_seed42/summary.json,reports/prototype_cv5_exact_w05_fold2_seed42/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold2_seed42/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold2_seed42/evaluation/leakage_audit.json
2,123,0.9345145287030475,0.946360153256705,0.9523809523809523,0.9523809523809523,0.9523809523809523,False,0.5,reports/cv5_expanded_cap3x_fold2_logmel_seed123/summary.json,reports/cv5_expanded_cap3x_fold2_logmel_dur2_seed123/summary.json,reports/cv5_expanded_cap3x_fold2_logmel_dur2_hier_w05_seed123/summary.json,reports/prototype_cv5_exact_w05_fold2_seed123/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold2_seed123/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold2_seed123/evaluation/leakage_audit.json
2,777,0.9401709401709402,0.9464209780297661,0.9583274273564847,0.9583274273564847,0.9583274273564847,False,0.5,reports/cv5_expanded_cap3x_fold2_logmel_seed777/summary.json,reports/cv5_expanded_cap3x_fold2_logmel_dur2_seed777/summary.json,reports/cv5_expanded_cap3x_fold2_logmel_dur2_hier_w05_seed777/summary.json,reports/prototype_cv5_exact_w05_fold2_seed777/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold2_seed777/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold2_seed777/evaluation/leakage_audit.json
2,2024,0.9340384388036006,0.9464209780297661,0.9523539421440725,0.9583274273564847,0.9523539421440725,False,0.5,reports/cv5_expanded_cap3x_fold2_logmel_seed2024/summary.json,reports/cv5_expanded_cap3x_fold2_logmel_dur2_seed2024/summary.json,reports/cv5_expanded_cap3x_fold2_logmel_dur2_hier_w05_seed2024/summary.json,reports/prototype_cv5_exact_w05_fold2_seed2024/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold2_seed2024/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold2_seed2024/evaluation/leakage_audit.json
2,3407,0.9273653590991052,0.946360153256705,0.9582801191996594,0.9583274273564847,0.9582801191996594,False,0.5,reports/cv5_expanded_cap3x_fold2_logmel_seed3407/summary.json,reports/cv5_expanded_cap3x_fold2_logmel_dur2_seed3407/summary.json,reports/cv5_expanded_cap3x_fold2_logmel_dur2_hier_w05_seed3407/summary.json,reports/prototype_cv5_exact_w05_fold2_seed3407/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold2_seed3407/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold2_seed3407/evaluation/leakage_audit.json
3,42,0.922077922077922,0.9403409090909091,0.9462380884653676,0.9404424276800907,0.9462380884653676,False,0.5,reports/cv5_expanded_cap3x_fold3_logmel_seed42/summary.json,reports/cv5_expanded_cap3x_fold3_logmel_dur2_seed42/summary.json,reports/cv5_expanded_cap3x_fold3_logmel_dur2_hier_w05_seed42/summary.json,reports/prototype_cv5_exact_w05_fold3_seed42/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold3_seed42/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold3_seed42/evaluation/leakage_audit.json
3,123,0.922077922077922,0.9523539421440725,0.9581851799175082,0.9582801191996594,0.9581851799175082,False,0.5,reports/cv5_expanded_cap3x_fold3_logmel_seed123/summary.json,reports/cv5_expanded_cap3x_fold3_logmel_dur2_seed123/summary.json,reports/cv5_expanded_cap3x_fold3_logmel_dur2_hier_w05_seed123/summary.json,reports/prototype_cv5_exact_w05_fold3_seed123/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold3_seed123/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold3_seed123/evaluation/leakage_audit.json
3,777,0.9404424276800907,0.9289464254323692,0.9521367521367521,0.9523539421440725,0.9521367521367521,False,0.5,reports/cv5_expanded_cap3x_fold3_logmel_seed777/summary.json,reports/cv5_expanded_cap3x_fold3_logmel_dur2_seed777/summary.json,reports/cv5_expanded_cap3x_fold3_logmel_dur2_hier_w05_seed777/summary.json,reports/prototype_cv5_exact_w05_fold3_seed777/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold3_seed777/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold3_seed777/evaluation/leakage_audit.json
3,2024,0.9285309132161088,0.9404424276800907,0.9523539421440725,0.9523809523809523,0.9523539421440725,False,0.5,reports/cv5_expanded_cap3x_fold3_logmel_seed2024/summary.json,reports/cv5_expanded_cap3x_fold3_logmel_dur2_seed2024/summary.json,reports/cv5_expanded_cap3x_fold3_logmel_dur2_hier_w05_seed2024/summary.json,reports/prototype_cv5_exact_w05_fold3_seed2024/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold3_seed2024/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold3_seed2024/evaluation/leakage_audit.json
3,3407,0.928409090909091,0.946360153256705,0.946360153256705,0.9523539421440725,0.946360153256705,False,0.5,reports/cv5_expanded_cap3x_fold3_logmel_seed3407/summary.json,reports/cv5_expanded_cap3x_fold3_logmel_dur2_seed3407/summary.json,reports/cv5_expanded_cap3x_fold3_logmel_dur2_hier_w05_seed3407/summary.json,reports/prototype_cv5_exact_w05_fold3_seed3407/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold3_seed3407/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold3_seed3407/evaluation/leakage_audit.json
4,42,0.8954765041721563,0.9702000851426138,0.9702338766832035,0.9702338766832035,0.9702338766832035,False,0.5,reports/cv5_expanded_cap3x_fold4_logmel_seed42/summary.json,reports/cv5_expanded_cap3x_fold4_logmel_dur2_seed42/summary.json,reports/cv5_expanded_cap3x_fold4_logmel_dur2_hier_w05_seed42/summary.json,reports/prototype_cv5_exact_w05_fold4_seed42/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold4_seed42/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold4_seed42/evaluation/leakage_audit.json
4,123,0.9091564527757751,0.9761904761904763,0.9642857142857144,0.9642654566080544,0.9642857142857144,False,0.5,reports/cv5_expanded_cap3x_fold4_logmel_seed123/summary.json,reports/cv5_expanded_cap3x_fold4_logmel_dur2_seed123/summary.json,reports/cv5_expanded_cap3x_fold4_logmel_dur2_hier_w05_seed123/summary.json,reports/prototype_cv5_exact_w05_fold4_seed123/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold4_seed123/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold4_seed123/evaluation/leakage_audit.json
4,777,0.8918764302059496,0.9821403260099221,0.9701322713696487,0.9761769710720363,0.9701322713696487,False,0.5,reports/cv5_expanded_cap3x_fold4_logmel_seed777/summary.json,reports/cv5_expanded_cap3x_fold4_logmel_dur2_seed777/summary.json,reports/cv5_expanded_cap3x_fold4_logmel_dur2_hier_w05_seed777/summary.json,reports/prototype_cv5_exact_w05_fold4_seed777/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold4_seed777/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold4_seed777/evaluation/leakage_audit.json
4,2024,0.9149305555555555,0.9821403260099221,0.9642654566080544,0.9761769710720363,0.9642654566080544,False,0.5,reports/cv5_expanded_cap3x_fold4_logmel_seed2024/summary.json,reports/cv5_expanded_cap3x_fold4_logmel_dur2_seed2024/summary.json,reports/cv5_expanded_cap3x_fold4_logmel_dur2_hier_w05_seed2024/summary.json,reports/prototype_cv5_exact_w05_fold4_seed2024/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold4_seed2024/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold4_seed2024/evaluation/leakage_audit.json
4,3407,0.9033927544565843,0.9580419580419581,0.9761769710720363,0.9642654566080544,0.9761769710720363,False,0.5,reports/cv5_expanded_cap3x_fold4_logmel_seed3407/summary.json,reports/cv5_expanded_cap3x_fold4_logmel_dur2_seed3407/summary.json,reports/cv5_expanded_cap3x_fold4_logmel_dur2_hier_w05_seed3407/summary.json,reports/prototype_cv5_exact_w05_fold4_seed3407/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold4_seed3407/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold4_seed3407/evaluation/leakage_audit.json
