comparison,baseline_stage,final_stage,n,baseline_mean,final_mean,mean_delta,std_delta,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p_raw,wilcoxon_p_holm,significant_holm_005,wins,ties,losses,fold_cluster_n,fold_cluster_bootstrap_ci95_low,fold_cluster_bootstrap_ci95_high,fold_0_mean_delta,fold_1_mean_delta,fold_2_mean_delta,fold_3_mean_delta,fold_4_mean_delta
B1 - B0,B0,B1,25,0.9226064673362835,0.9472373583266809,0.02463089099039724,0.028534613255749075,0.014112837971563999,0.03564207235269266,0.00016230344772338867,0.0006492137908935547,true,21,0,4,5,0.006577865394051571,0.048280218219115614,-0.00017033189852666553,0.02924313845678177,0.009924437219354409,0.013381116328602371,0.07077609484577432
B2 - B1,B1,B2,25,0.9472373583266809,0.9510496732091448,0.0038123148824640517,0.012940365086276233,-0.0013204227591915722,0.008726684136810842,0.17024139590961385,0.17024139590961385,false,16,1,8,5,-0.0034065368293034705,0.010560901852507793,0.01216703495479512,-0.007299929775328118,0.009552193844848466,0.009366051663251796,-0.004723776275247005
B3 - B2,B2,B3,25,0.9510496732091448,0.9539862142299651,0.0029365410208203623,0.010335612646114685,-0.0004775650942011766,0.007294064960569131,0.05825295212511276,0.11650590425022552,false,13,8,4,5,-0.00021951498078503833,0.00826336953622306,-0.0011686307505400562,0.01333483525016046,0.0012041586738474885,0.00010745352568841682,0.0012048884049455032
B3 - B1,B1,B3,25,0.9472373583266809,0.9539862142299651,0.006748855903284414,0.011611119463844641,0.002388568610691431,0.011270119626183867,0.013808561544817114,0.04142568463445134,true,18,0,7,5,0.0012953292136365802,0.01059660372696845,0.010998404204255064,0.006034905474832342,0.010756352518695955,0.009473505188940213,-0.0035188878703015015
B3 - B0,B0,B3,25,0.9226064673362835,0.9539862142299651,0.031379746893681656,0.023102130626727987,0.02282111227854716,0.04030148837924802,2.980232238769531e-07,1.4901161193847656e-06,true,24,0,1,5,0.01717446912102002,0.049575547432752186,0.010828072305728399,0.035278043931614114,0.020680789738050365,0.022854621517542584,0.06725720697547281
