stage,stage_name,n,mean_macro_f1,std_macro_f1,min_macro_f1,max_macro_f1
B0,1 s Log-Mel CRNN,25,0.9226064673362835,0.014540638405285713,0.8918764302059496,0.9462380884653676
B1,2 s Log-Mel CRNN,25,0.9472373583266809,0.016763540828925106,0.921268925739005,0.9821403260099221
B2,"2 s Log-Mel CRNN + hierarchical auxiliary supervision (lambda=0.5), Raw Softmax",25,0.9510496732091448,0.012393313898909944,0.9217204301075269,0.9761769710720363
B3,B2 backbone + hierarchical acoustic prototype inference,25,0.9539862142299651,0.012003773477142526,0.9342909970132272,0.9761769710720363
