method,prototype_temperature,softmax_temperature,softmax_weight,hier_aux_prob_weight,fusion_kind,n,top1_acc,macro_f1,top2_acc,ece,brier,nll
raw_softmax,,,,,,120,0.975,0.9749930536260072,1.0,0.06575470368067425,0.0720798596739769,0.13909979164600372
calibrated_softmax,,0.5,,,,120,0.975,0.9749930536260072,1.0,0.027778642872969304,0.05465202033519745,0.11240623146295547
calibrated_softmax,,0.75,,,,120,0.975,0.9749930536260072,1.0,0.04041531831026078,0.062280524522066116,0.11998680233955383
calibrated_softmax,,1.0,,,,120,0.975,0.9749930536260072,1.0,0.06575470368067425,0.0720798596739769,0.13909979164600372
calibrated_softmax,,1.5,,,,120,0.975,0.9749930536260072,1.0,0.11855876718958219,0.0956689864397049,0.19271822273731232
calibrated_softmax,,2.0,,,,120,0.975,0.9749930536260072,1.0,0.17733626812696457,0.12308616936206818,0.26145508885383606
prototype,0.03,,,,,120,0.975,0.9749930536260072,1.0,0.00722994307676951,0.04719727486371994,0.09382597357034683
hierarchical,0.03,,,0.5,,120,0.9666666666666667,0.9666666666666668,1.0,0.02276468177636464,0.04854516312479973,0.09489603340625763
prototype,0.05,,,,,120,0.975,0.9749930536260072,1.0,0.04137606720129651,0.055665239691734314,0.11010649800300598
hierarchical,0.05,,,0.5,,120,0.975,0.9749930536260072,1.0,0.04256762415170667,0.05593589320778847,0.11022058874368668
prototype,0.07,,,,,120,0.975,0.9749930536260072,1.0,0.07085278779268264,0.06946711242198944,0.1359049677848816
hierarchical,0.07,,,0.5,,120,0.975,0.9749930536260072,1.0,0.07003806382417677,0.06960578262805939,0.13601058721542358
prototype,0.1,,,,,120,0.975,0.9749930536260072,1.0,0.1037700538833936,0.09163375943899155,0.17063400149345398
hierarchical,0.1,,,0.5,,120,0.975,0.9749930536260072,1.0,0.10328912486632666,0.09271404892206192,0.17174972593784332
prototype,0.2,,,,,120,0.975,0.9749930536260072,1.0,0.16422672296563784,0.14608143270015717,0.24601830542087555
hierarchical,0.2,,,0.5,,120,0.9666666666666667,0.9665178571428572,1.0,0.1643252069751422,0.1506078988313675,0.25069519877433777
prototype,0.5,,,,,120,0.975,0.9749930536260072,1.0,0.3265852550665538,0.24186192452907562,0.46634623408317566
hierarchical,0.5,,,0.5,,120,0.825,0.8005698005698005,1.0,0.2326027825474739,0.2527056634426117,0.4797956645488739
prototype,1.0,,,,,120,0.975,0.9749930536260072,1.0,0.5062933740516504,0.4049554765224457,0.7732858061790466
hierarchical,1.0,,,0.5,,120,0.75,0.6666666666666666,1.0,0.2928781526784102,0.41578271985054016,0.7889503240585327
fused,0.05,0.5,0.0,0.5,pure_prototype,120,0.975,0.9749930536260072,1.0,0.04256762415170667,0.05593589320778847,0.11022058874368668
fused,0.05,0.5,0.25,0.5,mixed,120,0.975,0.9749930536260072,1.0,0.03699362576007844,0.054290760308504105,0.10709048062562943
fused,0.05,0.5,0.5,0.5,mixed,120,0.975,0.9749930536260072,1.0,0.02791822105646137,0.05352840572595596,0.10540998727083206
fused,0.05,0.5,0.75,0.5,mixed,120,0.975,0.9749930536260072,1.0,0.028853289286295568,0.053648825734853745,0.1060926765203476
fused,0.05,0.5,1.0,0.5,pure_softmax,120,0.975,0.9749930536260072,1.0,0.027778642872969304,0.05465202033519745,0.11240623146295547
