noise_environment,snr_db,target_active_snr_db,snr_reference,condition,method,n,top1_acc,macro_f1,top2_acc,ece,brier,nll,frozen_global_threshold,frozen_threshold_coverage,frozen_threshold_selective_risk,frozen_per_class_threshold_coverage,frozen_per_class_threshold_selective_risk,aurc,augrc,risk_at_coverage_0.80,risk_at_coverage_0.90,risk_at_coverage_0.95,cough_precision,cough_recall,cough_f1,cough_support,calm_grunt_precision,calm_grunt_recall,calm_grunt_f1,calm_grunt_support,feeding_precision,feeding_recall,feeding_f1,feeding_support,stress_vocal_precision,stress_vocal_recall,stress_vocal_f1,stress_vocal_support,feeding_to_stress,stress_to_feeding,cough_to_calm_grunt,cough_to_feeding,cough_to_stress_vocal,global_coverage,selective_risk,feeding_coverage,feeding_selective_risk,stress_vocal_coverage,stress_vocal_selective_risk,macro_f1_degradation_vs_clean,hierarchy_consistency,mean_prototype_distance_margin
clean,clean,clean,clean,clean,raw_softmax,168.0,0.9642857142857143,0.9642857142857144,1.0,0.025957127766949792,0.05461416766047478,0.09441172331571579,0.61217200756073,0.9880952380952381,0.03614457831325302,0.9880952380952381,0.03614457831325302,0.002339457459214002,0.002339457459214002,0.0,0.006578947368421018,0.025000000000000022,1.0,1.0,1.0,42.0,1.0,1.0,1.0,42.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,42.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,42.0,3.0,3.0,0.0,0.0,0.0,0.9880952380952381,0.03614457831325302,1.0,0.07142857142857142,0.9523809523809523,0.075,0.0,,
clean,clean,clean,clean,clean,prototype,168.0,0.9642857142857143,0.9642654566080544,1.0,0.028727511210100993,0.052937012165784836,0.0875171571969986,0.6540605425834656,0.9821428571428571,0.024242424242424288,0.9821428571428571,0.024242424242424288,0.0021419723699961247,0.0021419723699961247,0.0,0.006578947368421018,0.025000000000000022,1.0,1.0,1.0,42.0,1.0,1.0,1.0,42.0,0.95,0.9047619047619048,0.926829268292683,42.0,0.9090909090909091,0.9523809523809523,0.9302325581395349,42.0,4.0,2.0,0.0,0.0,0.0,0.9821428571428571,0.024242424242424288,0.9761904761904762,0.07317073170731707,0.9523809523809523,0.025,0.0,,
clean,clean,clean,clean,clean,hierarchical,168.0,0.9642857142857143,0.9642654566080544,1.0,0.0219849599968819,0.052586644887924194,0.08813293278217316,0.6942673921585083,0.9702380952380952,0.024539877300613466,0.9821428571428571,0.024242424242424288,0.002233234918480915,0.002233234918480915,0.0,0.013157894736842146,0.025000000000000022,1.0,1.0,1.0,42.0,1.0,1.0,1.0,42.0,0.95,0.9047619047619048,0.926829268292683,42.0,0.9090909090909091,0.9523809523809523,0.9302325581395349,42.0,4.0,2.0,0.0,0.0,0.0,0.9702380952380952,0.024539877300613466,0.9285714285714286,0.07692307692307693,0.9523809523809523,0.025,0.0,,
clean,clean,clean,clean,clean,fused,168.0,0.9642857142857143,0.9642857142857144,1.0,0.012198782038120958,0.054294779896736145,0.08707340806722641,0.648155927658081,0.9880952380952381,0.03614457831325302,0.9880952380952381,0.03614457831325302,0.002301055001456705,0.002301055001456705,0.0,0.006578947368421018,0.025000000000000022,1.0,1.0,1.0,42.0,1.0,1.0,1.0,42.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,42.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,42.0,3.0,3.0,0.0,0.0,0.0,0.9880952380952381,0.03614457831325302,1.0,0.07142857142857142,0.9523809523809523,0.075,0.0,,
clean,clean,,,clean,hierarchy_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9821428571428571,
DWASHING,20.0,20.0,active_valid_region,DWASHING_20dB,raw_softmax,168.0,0.7678571428571429,0.7370448179271708,0.8511904761904762,0.17711320590405236,0.42662838101387024,1.0980955362319946,0.61217200756073,0.9880952380952381,0.2349397590361446,0.9345238095238095,0.24840764331210186,0.11121620322977352,0.11121620322977352,0.22962962962962963,0.23026315789473684,0.23750000000000004,1.0,0.21428571428571427,0.35294117647058826,42.0,1.0,1.0,1.0,42.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,42.0,0.52,0.9285714285714286,0.6666666666666666,42.0,3.0,3.0,0.0,0.0,33.0,0.9880952380952381,0.2349397590361446,1.0,0.07142857142857142,0.9523809523809523,0.075,0.2272408963585436,,
DWASHING,20.0,20.0,active_valid_region,DWASHING_20dB,prototype,168.0,0.7619047619047619,0.732405194056385,0.8273809523809523,0.2106267948235784,0.4428592324256897,2.711785078048706,0.6540605425834656,0.9702380952380952,0.22699386503067487,0.9464285714285714,0.23270440251572322,0.17639905326192262,0.1763990532619226,0.23703703703703705,0.22368421052631582,0.23124999999999996,1.0,0.21428571428571427,0.35294117647058826,42.0,1.0,1.0,1.0,42.0,0.926829268292683,0.9047619047619048,0.9156626506024096,42.0,0.5131578947368421,0.9285714285714286,0.6610169491525424,42.0,4.0,3.0,0.0,0.0,33.0,0.9702380952380952,0.22699386503067487,0.9523809523809523,0.075,0.9285714285714286,0.02564102564102564,0.23186026255166936,,
DWASHING,20.0,20.0,active_valid_region,DWASHING_20dB,hierarchical,168.0,0.7619047619047619,0.7332970225127088,0.8333333333333334,0.21223225976739607,0.4442600607872009,2.667078971862793,0.6942673921585083,0.9702380952380952,0.22699386503067487,0.9464285714285714,0.23270440251572322,0.17547463042538228,0.17547463042538225,0.23703703703703705,0.23026315789473684,0.23124999999999996,1.0,0.21428571428571427,0.35294117647058826,42.0,1.0,1.0,1.0,42.0,0.9487179487179487,0.8809523809523809,0.9135802469135802,42.0,0.5128205128205128,0.9523809523809523,0.6666666666666666,42.0,5.0,2.0,0.0,0.0,33.0,0.9702380952380952,0.22699386503067487,0.9285714285714286,0.07692307692307693,0.9523809523809523,0.025,0.23096843409534562,,
DWASHING,20.0,20.0,active_valid_region,DWASHING_20dB,fused,168.0,0.7678571428571429,0.7370448179271708,0.8511904761904762,0.19875958065191904,0.4407731890678406,1.4112027883529663,0.648155927658081,0.9880952380952381,0.2349397590361446,0.9345238095238095,0.24840764331210186,0.11462463255241373,0.11462463255241372,0.22962962962962963,0.23026315789473684,0.23750000000000004,1.0,0.21428571428571427,0.35294117647058826,42.0,1.0,1.0,1.0,42.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,42.0,0.52,0.9285714285714286,0.6666666666666666,42.0,3.0,3.0,0.0,0.0,33.0,0.9880952380952381,0.2349397590361446,1.0,0.07142857142857142,0.9523809523809523,0.075,0.2272408963585436,,
DWASHING,20.0,,,DWASHING_20dB,hierarchy_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9761904761904762,
DWASHING,10.0,10.0,active_valid_region,DWASHING_10dB,raw_softmax,168.0,0.7083333333333334,0.6324589697372165,0.7738095238095238,0.2556633938636098,0.5468246936798096,1.5832154750823975,0.61217200756073,0.9880952380952381,0.28915662650602414,0.9880952380952381,0.29518072289156627,0.18162814969575342,0.18162814969575342,0.3111111111111111,0.2828947368421053,0.29374999999999996,0.0,0.0,0.0,42.0,1.0,1.0,1.0,42.0,0.926829268292683,0.9047619047619048,0.9156626506024096,42.0,0.4588235294117647,0.9285714285714286,0.6141732283464567,42.0,4.0,3.0,0.0,0.0,42.0,0.9880952380952381,0.28915662650602414,0.9761904761904762,0.07317073170731707,0.9761904761904762,0.07317073170731707,0.3318267445484979,,
DWASHING,10.0,10.0,active_valid_region,DWASHING_10dB,prototype,168.0,0.7023809523809523,0.6288461538461538,0.7559523809523809,0.2643127945207414,0.5628147125244141,3.8231201171875,0.6540605425834656,0.9761904761904762,0.28658536585365857,0.9642857142857143,0.2901234567901234,0.24887179531785494,0.24887179531785494,0.3111111111111111,0.29605263157894735,0.2875,0.0,0.0,0.0,42.0,1.0,1.0,1.0,42.0,0.9473684210526315,0.8571428571428571,0.9,42.0,0.45454545454545453,0.9523809523809523,0.6153846153846154,42.0,6.0,2.0,0.0,0.0,42.0,0.9761904761904762,0.28658536585365857,0.9523809523809523,0.1,0.9523809523809523,0.025,0.3354193027619006,,
DWASHING,10.0,10.0,active_valid_region,DWASHING_10dB,hierarchical,168.0,0.7083333333333334,0.6343366508841434,0.7559523809523809,0.26876690735419595,0.5659483671188354,3.767427682876587,0.6942673921585083,0.9642857142857143,0.2901234567901234,0.9583333333333334,0.2919254658385093,0.24777722983386571,0.24777722983386571,0.3111111111111111,0.29605263157894735,0.29374999999999996,0.0,0.0,0.0,42.0,1.0,1.0,1.0,42.0,0.972972972972973,0.8571428571428571,0.9113924050632911,42.0,0.4606741573033708,0.9761904761904762,0.6259541984732825,42.0,6.0,1.0,0.0,0.0,42.0,0.9642857142857143,0.2901234567901234,0.9047619047619048,0.10526315789473684,0.9523809523809523,0.025,0.32992880572391103,,
DWASHING,10.0,10.0,active_valid_region,DWASHING_10dB,fused,168.0,0.7083333333333334,0.6324589697372165,0.7738095238095238,0.25955676322891597,0.5572870969772339,2.0646047592163086,0.648155927658081,0.9880952380952381,0.28915662650602414,0.9880952380952381,0.29518072289156627,0.18759110377959456,0.18759110377959456,0.3111111111111111,0.2828947368421053,0.29374999999999996,0.0,0.0,0.0,42.0,1.0,1.0,1.0,42.0,0.926829268292683,0.9047619047619048,0.9156626506024096,42.0,0.4588235294117647,0.9285714285714286,0.6141732283464567,42.0,4.0,3.0,0.0,0.0,42.0,0.9880952380952381,0.28915662650602414,0.9761904761904762,0.07317073170731707,0.9761904761904762,0.07317073170731707,0.3318267445484979,,
DWASHING,10.0,,,DWASHING_10dB,hierarchy_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9880952380952381,
DWASHING,0.0,0.0,active_valid_region,DWASHING_0dB,raw_softmax,168.0,0.7023809523809523,0.6279063475067067,0.75,0.2663595974445343,0.5748029947280884,1.7876665592193604,0.61217200756073,0.9464285714285714,0.30188679245283023,0.9702380952380952,0.29447852760736193,0.2090555056958951,0.2090555056958951,0.3037037037037037,0.3092105263157895,0.30000000000000004,0.0,0.0,0.0,42.0,0.9767441860465116,1.0,0.9882352941176471,42.0,0.9722222222222222,0.8333333333333334,0.8974358974358975,42.0,0.4606741573033708,0.9761904761904762,0.6259541984732825,42.0,7.0,1.0,1.0,0.0,41.0,0.9464285714285714,0.30188679245283023,0.8571428571428571,0.1388888888888889,0.9285714285714286,0.02564102564102564,0.3363793667790077,,
