noise_environment,snr_db,method,n,mean_macro_f1,std_macro_f1,mean_top1_acc,mean_top2_acc,mean_ece,mean_brier,mean_nll,mean_aurc,mean_frozen_threshold_coverage,mean_frozen_threshold_selective_risk,mean_macro_f1_degradation_vs_clean
DWASHING,0.0,fused,1,0.5946651129800384,0.0,0.6607142857142857,0.8154761904761905,0.30940926500729155,0.6343826055526733,2.071929693222046,0.25760606064573155,0.8988095238095238,0.3377483443708609,0.35169504027666654
DWASHING,0.0,hierarchical,1,0.6,0.0,0.6666666666666666,0.7619047619047619,0.2954476277033488,0.6217878460884094,2.6465699672698975,0.23257921561953532,0.8869047619047619,0.32885906040268453,0.3522727272727273
DWASHING,0.0,prototype,1,0.6051144885511449,0.0,0.6726190476190477,0.7619047619047619,0.29224679796468644,0.6117744445800781,2.718160390853882,0.23987186738002292,0.9047619047619048,0.3223684210526315,0.34124566470556006
DWASHING,0.0,raw_softmax,1,0.5946651129800384,0.0,0.6607142857142857,0.8154761904761905,0.3094092664264498,0.6343826055526733,2.071929693222046,0.25760606064573155,0.8988095238095238,0.3377483443708609,0.35169504027666654
DWASHING,10.0,fused,1,0.6048148148148148,0.0,0.6726190476190477,0.7678571428571429,0.282847757495585,0.5933768153190613,1.9252225160598755,0.19813934049355217,0.8809523809523809,0.30405405405405406,0.34154533844189017
DWASHING,10.0,hierarchical,1,0.6200903377847604,0.0,0.6904761904761905,0.7619047619047619,0.26787470777829486,0.586053192615509,2.640305757522583,0.224553661118147,0.8869047619047619,0.3087248322147651,0.33218238948796686
DWASHING,10.0,prototype,1,0.6146616541353384,0.0,0.6845238095238095,0.7619047619047619,0.2683960582528796,0.5813454985618591,2.7127797603607178,0.2303396463210762,0.9166666666666666,0.2987012987012987,0.3316984991213666
DWASHING,10.0,raw_softmax,1,0.6048148148148148,0.0,0.6726190476190477,0.7678571428571429,0.28284775926953276,0.5933768153190613,1.9252225160598755,0.19813934049355217,0.8809523809523809,0.30405405405405406,0.34154533844189017
DWASHING,20.0,fused,1,0.6563208109719738,0.0,0.7083333333333334,0.7916666666666666,0.2548931429073924,0.5361615419387817,1.525763750076294,0.13478001385933888,0.8690476190476191,0.273972602739726,0.29003934228473116
DWASHING,20.0,hierarchical,1,0.6611023206751054,0.0,0.7142857142857143,0.7738095238095238,0.2536758372471446,0.5372636914253235,2.239321708679199,0.1742963357444277,0.8928571428571429,0.2733333333333333,0.29117040659762183
DWASHING,20.0,prototype,1,0.6658136482939632,0.0,0.7202380952380952,0.7738095238095238,0.2589965618792034,0.5345528721809387,2.2772326469421387,0.16964281637584475,0.9166666666666666,0.2727272727272727,0.2805465049627418
DWASHING,20.0,raw_softmax,1,0.6563208109719738,0.0,0.7083333333333334,0.7916666666666666,0.2548931429073924,0.536161482334137,1.525763750076294,0.13478001385933888,0.8690476190476191,0.273972602739726,0.29003934228473116
