noise_environment,target_active_snr_db,snr_reference,y_true,n,active_snr_mean,active_snr_std,active_snr_min,active_snr_max,full_window_snr_mean,full_window_snr_std,full_window_snr_min,full_window_snr_max,valid_duration_ratio_mean,valid_duration_ratio_std
DWASHING,0.0,active_valid_region,calm_grunt,42,5.559535080677901e-08,1.981571881641064e-07,-3.1244148472014455e-07,4.258383931329461e-07,5.559535080677901e-08,1.981571881641064e-07,-3.1244148472014455e-07,4.258383931329461e-07,1.0,0.0
DWASHING,0.0,active_valid_region,cough,42,1.4747592699542533e-08,2.1822274427705945e-07,-3.0804881673204616e-07,4.2506243357440735e-07,-7.079357320440204,2.703414635420409,-14.872379781471139,-2.912619469478132,0.2341845238095238,0.05129723702841528
DWASHING,0.0,active_valid_region,feeding,42,6.631545215757251e-08,2.540869681102673e-07,-3.3850966793656696e-07,4.350962449378335e-07,-0.0006560450032108727,0.0031890163059989473,-0.020692526581417448,4.350962449378335e-07,0.9998537946428572,0.0005905504032911282
DWASHING,0.0,active_valid_region,stress_vocal,42,9.987610532620096e-09,2.3408905564414374e-07,-4.7450021850275213e-07,4.476246285969783e-07,-0.001238023386931084,0.005560287690828496,-0.035467145359507214,3.634235523930653e-07,0.9997317708333335,0.0010827018037394445
DWASHING,10.0,active_valid_region,calm_grunt,42,10.000000031156771,2.3499817918519942e-07,9.999999644925165,10.000000453298107,10.000000031156771,2.3499817918519942e-07,9.999999644925165,10.000000453298107,1.0,0.0
DWASHING,10.0,active_valid_region,cough,42,9.999999982146123,2.461208394780993e-07,9.999999588065226,10.000000457719683,2.920642646807754,2.7034146292077463,-4.872379221568614,7.087380685626304,0.2341845238095238,0.05129723702841528
DWASHING,10.0,active_valid_region,feeding,42,9.999999943914055,1.963827263243391e-07,9.999999611830077,10.000000313838486,9.999343832600669,0.0031889668294757152,9.979307635291345,10.000000253661652,0.9998537946428572,0.0005905504032911282
DWASHING,10.0,active_valid_region,stress_vocal,42,10.00000008114213,1.963227256342544e-07,9.999999653108247,10.000000491856833,9.998762047763403,0.005560303402982777,9.964532819668468,10.000000485993883,0.9997317708333335,0.0010827018037394445
DWASHING,20.0,active_valid_region,calm_grunt,42,19.999999961705665,1.8166473458767405e-07,19.999999656288317,20.00000035286691,19.999999961705665,1.8166473458767405e-07,19.999999656288317,20.00000035286691,1.0,0.0
DWASHING,20.0,active_valid_region,cough,42,19.999999991871725,2.568954215269724e-07,19.999999554794282,20.000000404231937,12.920642655653957,2.703414599878509,5.127620894714279,17.087380372703254,0.2341845238095238,0.05129723702841528
DWASHING,20.0,active_valid_region,feeding,42,20.00000003286945,2.0866477396683185e-07,19.99999967700163,20.000000393723845,19.99934392155655,0.0031889080786962195,19.979308097569167,20.000000391227395,0.9998537946428572,0.0005905504032911282
DWASHING,20.0,active_valid_region,stress_vocal,42,20.00000003231983,2.25180510433879e-07,19.999999573355318,20.000000437193147,19.998761998945504,0.005560340453241409,19.964532566988748,20.000000437193147,0.9997317708333335,0.0010827018037394445
STRAFFIC,0.0,active_valid_region,calm_grunt,42,1.669439692537595e-09,2.1674017615260024e-07,-4.07613326048442e-07,4.0273937240730073e-07,1.669439692537595e-09,2.1674017615260024e-07,-4.07613326048442e-07,4.0273937240730073e-07,1.0,0.0
STRAFFIC,0.0,active_valid_region,cough,42,-1.60877387870377e-08,1.8783804443511375e-07,-3.5959265410904104e-07,3.9007883725333366e-07,-6.692154778562641,1.2208553394657353,-9.674772890776621,-4.854583175168078,0.2341845238095238,0.05129723702841528
STRAFFIC,0.0,active_valid_region,feeding,42,-1.615303216315181e-08,2.2912584238148857e-07,-4.3819853052819625e-07,4.5466867971580833e-07,-0.0005142406145732701,0.002021015595482717,-0.013089847793922707,4.3640173982463043e-07,0.9998537946428572,0.0005905504032911282
STRAFFIC,0.0,active_valid_region,stress_vocal,42,-9.956878755143232e-09,2.2752553388618956e-07,-3.769615647560832e-07,4.0606033861123807e-07,-0.0009235683036914545,0.004354004179492364,-0.02826465735839766,4.0606033861123807e-07,0.9997317708333335,0.0010827018037394445
STRAFFIC,10.0,active_valid_region,calm_grunt,42,10.000000024361734,2.041107255904345e-07,9.99999966478315,10.000000444321211,10.000000024361734,2.041107255904345e-07,9.99999966478315,10.000000444321211,1.0,0.0
STRAFFIC,10.0,active_valid_region,cough,42,9.999999978164476,2.423998591214654e-07,9.999999628155788,10.000000427641924,3.3078452159503318,1.2208553244520097,0.32522695074645924,5.145416956992706,0.2341845238095238,0.05129723702841528
STRAFFIC,10.0,active_valid_region,feeding,42,9.999999975858566,2.164312059561214e-07,9.999999534521006,10.00000034793439,9.999485751400288,0.002021023449147132,9.986910210380298,10.00000029575802,0.9998537946428572,0.0005905504032911282
STRAFFIC,10.0,active_valid_region,stress_vocal,42,10.000000022058654,2.1969012166840248e-07,9.999999656380243,10.000000462601754,9.999076463718202,0.004353937157766936,9.97173588746777,10.000000462601754,0.9997317708333335,0.0010827018037394445
STRAFFIC,20.0,active_valid_region,calm_grunt,42,20.00000002692827,2.2232393378233373e-07,19.99999955646614,20.00000037538678,20.00000002692827,2.2232393378233373e-07,19.99999955646614,20.00000037538678,1.0,0.0
STRAFFIC,20.0,active_valid_region,cough,42,19.999999978688386,2.1948959098690465e-07,19.999999576366758,20.000000383635907,13.307845216252762,1.2208553326368263,10.325226664306417,15.145417145157975,0.2341845238095238,0.05129723702841528
