start_s,end_s,duration_s,max_prob,mean_prob,n_frames
0.0,1.0,1.0,0.7880947589874268,0.7880947589874268,1
0.699999988079071,2.0,1.300000011920929,0.73862224817276,0.7279300093650818,4
1.600000023841858,3.4000000953674316,1.8000000715255737,0.8725951313972473,0.8009806606504652,9
5.0,6.699999809265137,1.6999998092651367,0.8731787204742432,0.8119742423295975,8
7.199999809265137,8.699999809265137,1.5,0.8030276894569397,0.7692686716715494,6
9.100000381469727,10.100000381469727,1.0,0.7740541696548462,0.7740541696548462,1
10.100000381469727,11.100000381469727,1.0,0.7930022478103638,0.7930022478103638,1
17.200000762939453,18.200000762939453,1.0,0.7950189709663391,0.7950189709663391,1
17.899999618530273,19.600000381469727,1.7000007629394531,0.8339669108390808,0.7790564894676208,8
19.0,20.100000381469727,1.1000003814697266,0.7600796222686768,0.7379960715770721,2
29.200000762939453,30.200000762939453,1.0,0.7264505624771118,0.7264505624771118,1
30.200000762939453,31.200000762939453,1.0,0.7048542499542236,0.7048542499542236,1
32.20000076293945,33.20000076293945,1.0,0.8048231601715088,0.8048231601715088,1
32.599998474121094,33.79999923706055,1.2000007629394531,0.7615039944648743,0.7427851557731628,3
33.5,34.599998474121094,1.0999984741210938,0.7077574729919434,0.7069633305072784,2
38.29999923706055,40.5,2.200000762939453,0.8995498418807983,0.8296080919412466,13
39.70000076293945,40.79999923706055,1.0999984741210938,0.7470760941505432,0.7287330329418182,2
40.0,41.0,1.0,0.721625030040741,0.721625030040741,1
41.29999923706055,42.29999923706055,1.0,0.7177398800849915,0.7177398800849915,1
41.5,42.5,1.0,0.7217484712600708,0.7217484712600708,1
45.400001525878906,46.5,1.0999984741210938,0.7506183981895447,0.7358274161815643,2
45.70000076293945,46.70000076293945,1.0,0.7073892951011658,0.7073892951011658,1
96.9000015258789,98.0999984741211,1.1999969482421875,0.8808606863021851,0.8379130164782206,3
97.5999984741211,98.69999694824219,1.0999984741210938,0.7515614032745361,0.7454322576522827,2
98.0999984741211,99.4000015258789,1.3000030517578125,0.749073326587677,0.7234110981225967,4
157.3000030517578,158.8000030517578,1.5,0.8596539497375488,0.7765104571978251,6
158.1999969482422,159.60000610351562,1.4000091552734375,0.8350215554237366,0.7537907838821412,5
159.5,160.5,1.0,0.8314489126205444,0.8314489126205444,1
159.8000030517578,161.1999969482422,1.399993896484375,0.7599443197250366,0.7342495799064637,5
169.89999389648438,170.89999389648438,1.0,0.7561013698577881,0.7561013698577881,1
170.10000610351562,171.10000610351562,1.0,0.7432951927185059,0.7432951927185059,1
170.3000030517578,171.60000610351562,1.3000030517578125,0.7549562454223633,0.744332030415535,4
172.1999969482422,173.89999389648438,1.6999969482421875,0.8776935338973999,0.785096675157547,8
174.0,175.0,1.0,0.703464686870575,0.703464686870575,1
174.39999389648438,175.39999389648438,1.0,0.7088494300842285,0.7088494300842285,1
174.60000610351562,175.60000610351562,1.0,0.7126166820526123,0.7126166820526123,1
185.8000030517578,186.8000030517578,1.0,0.7597780823707581,0.7597780823707581,1
186.6999969482422,187.6999969482422,1.0,0.7655916810035706,0.7655916810035706,1
191.5,192.60000610351562,1.100006103515625,0.7306700944900513,0.7279388606548309,2
191.8000030517578,192.8000030517578,1.0,0.7201236486434937,0.7201236486434937,1
200.5,204.5,4.0,0.9155740141868591,0.8090091443830921,31
203.8000030517578,207.89999389648438,4.0999908447265625,0.9258021116256714,0.8329273145645857,32
223.3000030517578,224.3000030517578,1.0,0.7041100263595581,0.7041100263595581,1
230.39999389648438,231.39999389648438,1.0,0.7257789373397827,0.7257789373397827,1
231.0,232.0,1.0,0.7574492692947388,0.7574492692947388,1
261.5,262.5,1.0,0.7044772505760193,0.7044772505760193,1
275.70001220703125,277.5,1.79998779296875,0.8506839275360107,0.797072516547309,9
276.8999938964844,278.6000061035156,1.70001220703125,0.817294180393219,0.7552314251661301,8
287.0,288.29998779296875,1.29998779296875,0.8373353481292725,0.8097444176673889,4
292.0,293.0,1.0,0.7120654582977295,0.7120654582977295,1
293.70001220703125,295.79998779296875,2.0999755859375,0.8942664265632629,0.8623892466227213,12
306.79998779296875,308.8999938964844,2.100006103515625,0.8250371217727661,0.74390476445357,12
334.3999938964844,335.3999938964844,1.0,0.7824354767799377,0.7824354767799377,1
