start_s,prob_cough
0.0,0.870556116104126
0.1,0.8726044297218323
0.2,0.8730021715164185
0.3,0.8725468516349792
0.4,0.8724102973937988
0.5,0.8725900053977966
0.6,0.8726716041564941
0.7,0.8729432821273804
0.8,0.8726934790611267
0.9,0.8723719120025635
1.0,0.8723741173744202
1.1,0.8723851442337036
1.2,0.8722149729728699
1.3,0.8723028898239136
1.4,0.8723388314247131
1.5,0.872195839881897
1.6,0.8721237778663635
1.7,0.8723011612892151
1.8,0.8723700046539307
1.9,0.8725138306617737
2.0,0.8728253245353699
2.1,0.8727849125862122
2.2,0.8728350400924683
2.3,0.8726249933242798
2.4,0.8729005455970764
2.5,0.8729177117347717
2.6,0.8727031946182251
2.7,0.8730023503303528
2.8,0.8726539015769958
2.9,0.8727585673332214
3.0,0.8724493980407715
3.1,0.8727810978889465
3.2,0.872593343257904
3.3,0.872604489326477
3.4,0.8725779056549072
3.5,0.8724799156188965
3.6,0.8724095821380615
3.7,0.8725636601448059
3.8,0.8724018335342407
3.9,0.8724923133850098
4.0,0.872296154499054
4.1,0.8724948763847351
4.2,0.8726155757904053
4.3,0.8724299669265747
4.4,0.8727505803108215
4.5,0.8723627328872681
4.6,0.8722752928733826
4.7,0.8726797699928284
4.8,0.8727436661720276
4.9,0.8727080225944519
5.0,0.8724415302276611
5.1,0.8728502988815308
5.2,0.872614324092865
5.3,0.8726379871368408
5.4,0.8726091384887695
5.5,0.8726094961166382
5.6,0.872763454914093
5.7,0.8727512955665588
5.8,0.8726643323898315
5.9,0.8722503781318665
6.0,0.8726755976676941
6.1,0.872410774230957
6.2,0.8726478815078735
6.3,0.872739851474762
6.4,0.8727440237998962
6.5,0.8725827932357788
6.6,0.8726513385772705
6.7,0.8727426528930664
6.8,0.8723960518836975
6.9,0.8724479675292969
7.0,0.8725588321685791
7.1,0.872333824634552
7.2,0.8723136782646179
7.3,0.8724796175956726
7.4,0.8720157146453857
7.5,0.872087299823761
7.6,0.8722385168075562
7.7,0.8722708821296692
7.8,0.8718478679656982
7.9,0.8720723390579224
8.0,0.8723025321960449
8.1,0.8721550703048706
8.2,0.8728175163269043
8.3,0.8726015090942383
8.4,0.8728793263435364
8.5,0.8726992607116699
8.6,0.8727706670761108
8.7,0.8725470304489136
8.8,0.8723896741867065
8.9,0.8723136186599731
9.0,0.8725850582122803
9.1,0.8722058534622192
9.2,0.8727239966392517
9.3,0.8723086714744568
9.4,0.8726853728294373
9.5,0.8725190758705139
9.6,0.8725388646125793
9.7,0.8723289370536804
9.8,0.8722326755523682
9.9,0.8721681833267212
10.0,0.8721547722816467
10.1,0.871986448764801
10.2,0.8721858859062195
10.3,0.8721996545791626
10.4,0.87242192029953
10.5,0.8720898032188416
10.6,0.8718847632408142
10.7,0.8721314072608948
10.8,0.8724733591079712
10.9,0.872753381729126
11.0,0.8724921345710754
11.1,0.8723960518836975
11.2,0.8727816343307495
11.3,0.8725065588951111
11.4,0.8723832368850708
11.5,0.8722240924835205
11.6,0.8719934225082397
11.7,0.8725529313087463
11.8,0.8726672530174255
11.9,0.8721408247947693
12.0,0.8721215724945068
12.1,0.8721773028373718
12.2,0.8722149729728699
12.3,0.8721969723701477
12.4,0.8720608353614807
12.5,0.8718559145927429
12.6,0.8714882135391235
12.7,0.8719063997268677
12.8,0.8720654845237732
12.9,0.8718739748001099
13.0,0.8719930648803711
13.1,0.8721441626548767
13.2,0.8721067309379578
13.3,0.8723984956741333
13.4,0.8723574876785278
13.5,0.8724212050437927
13.6,0.8722062706947327
13.7,0.8719245195388794
13.8,0.871813952922821
13.9,0.871840238571167
14.0,0.8713251352310181
14.1,0.8711416721343994
14.2,0.8713341951370239
14.3,0.8716079592704773
14.4,0.8716115951538086
14.5,0.8715079426765442
14.6,0.871903121471405
14.7,0.8720131516456604
14.8,0.8724125623703003
14.9,0.8727158308029175
15.0,0.8727933764457703
15.1,0.8725629448890686
15.2,0.8727327585220337
15.3,0.8726240992546082
15.4,0.8722789287567139
15.5,0.8726608753204346
15.6,0.8727068305015564
15.7,0.87257319688797
15.8,0.8723921775817871
15.9,0.8723145723342896
16.0,0.8718463182449341
16.1,0.872028648853302
16.2,0.8717652559280396
16.3,0.8720766305923462
16.4,0.8722644448280334
16.5,0.8720260262489319
16.6,0.8725008368492126
16.7,0.8725907206535339
