threshold,coverage,selective_risk,selective_acc,n_accepted,n_total
0.0,1.0,0.04761904761904767,0.9523809523809523,168,168
0.01,1.0,0.04761904761904767,0.9523809523809523,168,168
0.02,1.0,0.04761904761904767,0.9523809523809523,168,168
0.03,1.0,0.04761904761904767,0.9523809523809523,168,168
0.04,1.0,0.04761904761904767,0.9523809523809523,168,168
0.05,1.0,0.04761904761904767,0.9523809523809523,168,168
0.06,1.0,0.04761904761904767,0.9523809523809523,168,168
0.07,1.0,0.04761904761904767,0.9523809523809523,168,168
0.08,1.0,0.04761904761904767,0.9523809523809523,168,168
0.09,1.0,0.04761904761904767,0.9523809523809523,168,168
0.1,1.0,0.04761904761904767,0.9523809523809523,168,168
0.11,1.0,0.04761904761904767,0.9523809523809523,168,168
0.12,1.0,0.04761904761904767,0.9523809523809523,168,168
0.13,1.0,0.04761904761904767,0.9523809523809523,168,168
0.14,1.0,0.04761904761904767,0.9523809523809523,168,168
0.15,1.0,0.04761904761904767,0.9523809523809523,168,168
0.16,1.0,0.04761904761904767,0.9523809523809523,168,168
0.17,1.0,0.04761904761904767,0.9523809523809523,168,168
0.18,1.0,0.04761904761904767,0.9523809523809523,168,168
0.19,1.0,0.04761904761904767,0.9523809523809523,168,168
0.2,1.0,0.04761904761904767,0.9523809523809523,168,168
0.21,1.0,0.04761904761904767,0.9523809523809523,168,168
0.22,1.0,0.04761904761904767,0.9523809523809523,168,168
0.23,1.0,0.04761904761904767,0.9523809523809523,168,168
0.24,1.0,0.04761904761904767,0.9523809523809523,168,168
0.25,1.0,0.04761904761904767,0.9523809523809523,168,168
0.26,1.0,0.04761904761904767,0.9523809523809523,168,168
0.27,1.0,0.04761904761904767,0.9523809523809523,168,168
0.28,1.0,0.04761904761904767,0.9523809523809523,168,168
0.29,1.0,0.04761904761904767,0.9523809523809523,168,168
0.3,1.0,0.04761904761904767,0.9523809523809523,168,168
0.31,1.0,0.04761904761904767,0.9523809523809523,168,168
0.32,1.0,0.04761904761904767,0.9523809523809523,168,168
0.33,1.0,0.04761904761904767,0.9523809523809523,168,168
0.34,1.0,0.04761904761904767,0.9523809523809523,168,168
0.35000000000000003,1.0,0.04761904761904767,0.9523809523809523,168,168
0.36,1.0,0.04761904761904767,0.9523809523809523,168,168
0.37,1.0,0.04761904761904767,0.9523809523809523,168,168
0.38,1.0,0.04761904761904767,0.9523809523809523,168,168
0.39,1.0,0.04761904761904767,0.9523809523809523,168,168
0.4,1.0,0.04761904761904767,0.9523809523809523,168,168
0.41000000000000003,1.0,0.04761904761904767,0.9523809523809523,168,168
0.42,1.0,0.04761904761904767,0.9523809523809523,168,168
0.43,1.0,0.04761904761904767,0.9523809523809523,168,168
0.44,1.0,0.04761904761904767,0.9523809523809523,168,168
0.45,1.0,0.04761904761904767,0.9523809523809523,168,168
0.46,1.0,0.04761904761904767,0.9523809523809523,168,168
0.47000000000000003,1.0,0.04761904761904767,0.9523809523809523,168,168
0.48,1.0,0.04761904761904767,0.9523809523809523,168,168
0.49,1.0,0.04761904761904767,0.9523809523809523,168,168
0.5,1.0,0.04761904761904767,0.9523809523809523,168,168
0.51,1.0,0.04761904761904767,0.9523809523809523,168,168
0.52,1.0,0.04761904761904767,0.9523809523809523,168,168
0.53,1.0,0.04761904761904767,0.9523809523809523,168,168
0.54,0.9940476190476191,0.04790419161676651,0.9520958083832335,167,168
0.55,0.9940476190476191,0.04790419161676651,0.9520958083832335,167,168
0.56,0.9940476190476191,0.04790419161676651,0.9520958083832335,167,168
0.5700000000000001,0.9940476190476191,0.04790419161676651,0.9520958083832335,167,168
0.58,0.9940476190476191,0.04790419161676651,0.9520958083832335,167,168
0.59,0.9940476190476191,0.04790419161676651,0.9520958083832335,167,168
0.6,0.9940476190476191,0.04790419161676651,0.9520958083832335,167,168
0.61,0.9940476190476191,0.04790419161676651,0.9520958083832335,167,168
0.62,0.9940476190476191,0.04790419161676651,0.9520958083832335,167,168
0.63,0.9940476190476191,0.04790419161676651,0.9520958083832335,167,168
0.64,0.9940476190476191,0.04790419161676651,0.9520958083832335,167,168
0.65,0.9940476190476191,0.04790419161676651,0.9520958083832335,167,168
0.66,0.9940476190476191,0.04790419161676651,0.9520958083832335,167,168
