accept_rule,n_total,n_accepted,coverage,selective_acc,selective_risk
accept_global,168,161,0.9583333333333334,0.9627329192546584,0.037267080745341574
accept_per_class,168,165,0.9821428571428571,0.9515151515151515,0.048484848484848464
