protocol,model,n,mean_macro_f1,std_macro_f1,min_macro_f1,max_macro_f1,mean_best_val,mean_test_acc,mean_gate,max_gate
cap2x,mctafd_no_se_gated,15,0.9156086051195073,0.016991944999401137,0.8918764302059496,0.9345145287030475,0.9476528407801513,0.915873015873016,0.01829160333921512,0.019790640100836754
cap2x,logmel,15,0.9142136522321753,0.01865570724727314,0.8737849455086982,0.9404761904761905,0.948757290792264,0.9142857142857143,,
cap3x,logmel_dur2,25,0.9472373583266809,0.01676354082892511,0.921268925739005,0.9821403260099221,0.971632584015087,0.9473809523809524,,
cap3x,logmel_dur3,15,0.9434006243447031,0.022274339389136026,0.8912104295307126,0.9702338766832035,0.9604851071941468,0.9436507936507936,,
cap3x,logmel_dur2_attn,15,0.9430722967782724,0.01980432073821767,0.9077733860342556,0.9761904761904763,0.9716337076495244,0.9432539682539682,,
cap3x,logmel,25,0.9226064673362835,0.01454063840528572,0.8918764302059496,0.9462380884653676,0.9451702170557182,0.9230952380952381,,
cap3x,mctafd_no_se_gated,15,0.9207885655256225,0.013813913503874788,0.890625,0.9522727272727273,0.9481814885287986,0.9214285714285714,0.01830071539928516,0.020332420244812965
cap3x,logmel_specaug,15,0.9198257940701493,0.022496591643235416,0.8762553802008608,0.9581851799175082,0.9464387604131199,0.9198412698412698,,
cap3x,logmel_dual,15,0.9174810492376572,0.011933024579225675,0.889795918367347,0.9346709228640351,0.9414743870444904,0.9178571428571428,,
cap3x,logmel_specaug_light,15,0.9162030584858532,0.01634278397289315,0.8771978356560015,0.9404424276800907,0.9464915036704062,0.9166666666666666,,
cap3x,logmel_bilstm,15,0.9096836544767082,0.017694194481398858,0.8760835490536015,0.9342909970132272,0.9480853351863432,0.9099206349206349,,
cap3x,logmel_sg,15,0.9093253579888448,0.014920957933267873,0.8831796223100571,0.9285309132161088,0.9453512343628105,0.9099206349206349,,
cap3x,logmel_pcen,15,0.8915985510569222,0.019927171252951008,0.8496864022521737,0.9226080793763288,0.9216230272706532,0.8916666666666667,,
