model,n,mean_macro_f1,std_macro_f1,min_macro_f1,max_macro_f1,mean_aux_f1,mean_best_val,mean_best_epoch
logmel_dur2_hier_w10,25,0.951508156245791,0.016029830695159272,0.9279176201372997,0.9880952380952381,0.8097794298587779,0.9729664749360858,13.64
logmel_dur2_hier_w05,25,0.9510496732091448,0.012393313898909951,0.9217204301075269,0.9761769710720363,0.7823531988270495,0.9726560970438903,13.64
logmel_dur2_hier_w02,25,0.9505056189485463,0.01321982137273547,0.9142857142857143,0.9702338766832035,0.786722904487693,0.9739859034504496,17.28
