noise_environment,snr_db,condition_family,method,class,precision,recall,f1
DWASHING,10.0,,raw_softmax,feeding,0.9122632103688934,0.8714285714285714,0.8913784705309304
DWASHING,10.0,,raw_softmax,stress_vocal,0.4557081951681667,0.9161904761904762,0.6086681429927238
DWASHING,20.0,,fused,cough,1.0,0.2838095238095238,0.4421364985163205
DWASHING,20.0,,fused,calm_grunt,1.0,1.0,1.0
DWASHING,20.0,,fused,feeding,0.910318225650916,0.8990476190476191,0.9046478198370868
DWASHING,20.0,,fused,stress_vocal,0.5272727272727272,0.9114285714285716,0.6680628272251308
DWASHING,20.0,,hierarchical,cough,1.0,0.3038095238095238,0.4660336011687363
DWASHING,20.0,,hierarchical,calm_grunt,1.0,1.0,1.0
DWASHING,20.0,,hierarchical,feeding,0.9243781094527364,0.8847619047619047,0.9041362530413624
DWASHING,20.0,,hierarchical,stress_vocal,0.5334063526834611,0.9276190476190476,0.6773296244784424
DWASHING,20.0,,prototype,cough,1.0,0.3085714285714285,0.4716157205240174
DWASHING,20.0,,prototype,calm_grunt,1.0,1.0,1.0
DWASHING,20.0,,prototype,feeding,0.909796314258002,0.8933333333333333,0.90148966842864
DWASHING,20.0,,prototype,stress_vocal,0.5331476323119777,0.9114285714285716,0.6727592267135325
DWASHING,20.0,,raw_softmax,cough,1.0,0.28,0.4375
DWASHING,20.0,,raw_softmax,calm_grunt,1.0,1.0,1.0
DWASHING,20.0,,raw_softmax,feeding,0.9078564500484966,0.8914285714285715,0.8995675156174916
DWASHING,20.0,,raw_softmax,stress_vocal,0.5232876712328767,0.9095238095238096,0.6643478260869565
STRAFFIC,0.0,,fused,cough,0.0,0.0,0.0
STRAFFIC,0.0,,fused,calm_grunt,0.8304278922345484,0.998095238095238,0.9065743944636678
STRAFFIC,0.0,,fused,feeding,0.9834710743801652,0.2266666666666666,0.368421052631579
STRAFFIC,0.0,,fused,stress_vocal,0.3797327394209354,0.9742857142857144,0.546474358974359
STRAFFIC,0.0,,hierarchical,cough,0.0,0.0,0.0
STRAFFIC,0.0,,hierarchical,calm_grunt,0.7694566813509545,0.998095238095238,0.868988391376451
STRAFFIC,0.0,,hierarchical,feeding,0.9914163090128756,0.22,0.3600935307872174
STRAFFIC,0.0,,hierarchical,stress_vocal,0.3907030349596619,0.9685714285714284,0.5568026279770052
STRAFFIC,0.0,,prototype,cough,0.0,0.0,0.0
STRAFFIC,0.0,,prototype,calm_grunt,0.7523330940416367,0.998095238095238,0.8579615227179699
STRAFFIC,0.0,,prototype,feeding,0.9926739926739928,0.2580952380952381,0.4096749811035525
STRAFFIC,0.0,,prototype,stress_vocal,0.40086887835703,0.9666666666666668,0.5667225013958683
STRAFFIC,0.0,,raw_softmax,cough,0.0,0.0,0.0
STRAFFIC,0.0,,raw_softmax,calm_grunt,0.845718901453958,0.9971428571428572,0.91520979020979
STRAFFIC,0.0,,raw_softmax,feeding,0.9829787234042552,0.22,0.3595330739299611
STRAFFIC,0.0,,raw_softmax,stress_vocal,0.376971030436377,0.979047619047619,0.5443473656341011
STRAFFIC,10.0,,fused,cough,1.0,0.0009523809523809,0.0019029495718363
STRAFFIC,10.0,,fused,calm_grunt,0.9924385633270322,1.0,0.996204933586338
STRAFFIC,10.0,,fused,feeding,0.9468223086900128,0.6952380952380952,0.8017572762218561
STRAFFIC,10.0,,fused,stress_vocal,0.4257383966244725,0.960952380952381,0.5900584795321637
STRAFFIC,10.0,,hierarchical,cough,1.0,0.0009523809523809,0.0019029495718363
STRAFFIC,10.0,,hierarchical,calm_grunt,0.9924385633270322,1.0,0.996204933586338
STRAFFIC,10.0,,hierarchical,feeding,0.9480874316939892,0.660952380952381,0.7789001122334456
STRAFFIC,10.0,,hierarchical,stress_vocal,0.4200913242009132,0.9638095238095238,0.5851402139346631
STRAFFIC,10.0,,prototype,cough,0.0,0.0,0.0
STRAFFIC,10.0,,prototype,calm_grunt,0.9896324222431668,1.0,0.994789199431549
STRAFFIC,10.0,,prototype,feeding,0.9472361809045228,0.7180952380952381,0.8169014084507044
STRAFFIC,10.0,,prototype,stress_vocal,0.4302176696542893,0.96,0.5941644562334217
STRAFFIC,10.0,,raw_softmax,cough,0.0,0.0,0.0
STRAFFIC,10.0,,raw_softmax,calm_grunt,0.9971509971509972,1.0,0.9985734664764622
STRAFFIC,10.0,,raw_softmax,feeding,0.94640522875817,0.6895238095238095,0.7977961432506887
STRAFFIC,10.0,,raw_softmax,stress_vocal,0.4235936188077246,0.960952380952381,0.5879953379953381
STRAFFIC,20.0,,fused,cough,0.0,0.0,0.0
STRAFFIC,20.0,,fused,calm_grunt,1.0,1.0,1.0
STRAFFIC,20.0,,fused,feeding,0.9159067882472138,0.8609523809523809,0.8875797741777124
STRAFFIC,20.0,,fused,stress_vocal,0.4470642625982431,0.920952380952381,0.6019296607531901
STRAFFIC,20.0,,hierarchical,cough,0.0,0.0,0.0
STRAFFIC,20.0,,hierarchical,calm_grunt,1.0,1.0,1.0
STRAFFIC,20.0,,hierarchical,feeding,0.9308176100628932,0.8457142857142858,0.8862275449101796
STRAFFIC,20.0,,hierarchical,stress_vocal,0.448087431693989,0.9371428571428572,0.6062846580406654
STRAFFIC,20.0,,prototype,cough,0.0,0.0,0.0
