comparison,n,mean_delta,std_delta,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p,wins,ties,losses
hierarchical - raw_softmax,25,0.0029365410208203,0.0103356126461146,-0.0004775650942011,0.0072940649605691,0.0582529521251127,13,8,4
prototype - raw_softmax,25,0.0008027399494113,0.0086112747183765,-0.0023100440849359,0.0044311335168986,0.5712430483673425,10,7,8
hierarchical - prototype,25,0.002133801071409,0.0072698054469632,-0.000499132941972,0.0049960534171189,0.221330082993901,8,12,5
