method,n,mean_macro_f1,std_macro_f1,min_macro_f1,max_macro_f1,mean_top1_acc,std_top1_acc,mean_top2_acc,mean_ece,mean_brier,mean_nll
raw_softmax,25,0.9510496732091448,0.0123933138989099,0.9217204301075268,0.9761769710720364,0.9511904761904764,0.0122711476952906,1.0,0.0304967881526265,0.0754338333010673,0.1260358169674873
calibrated_softmax,25,0.9510496732091448,0.0123933138989099,0.9217204301075268,0.9761769710720364,0.9511904761904764,0.0122711476952906,1.0,0.0273364646519933,0.075120720565319,0.1255649957060814
prototype,25,0.9518524131585562,0.0131041860877697,0.9226080793763288,0.9761769710720364,0.951904761904762,0.013077188137527,1.0,0.0261726444817724,0.0706415519118309,0.11705600887537
hierarchical,25,0.9539862142299652,0.0120037734771425,0.9342909970132272,0.9761769710720364,0.954047619047619,0.0119690723268695,1.0,0.0306261687619345,0.0724515695869922,0.1273344537615776
fused,25,0.953486006317434,0.0103425437412472,0.9342909970132272,0.9702338766832036,0.9535714285714286,0.010309826235529,1.0,0.0266292882817132,0.0724229227006435,0.1211505296826362
