noise_environment,snr_db,comparison,n,mean_delta,std_delta,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p,wins,ties,losses,condition_family
DWASHING,0.0,prototype - raw_softmax,25,0.0034434459992771,0.0166987245801886,-0.0025401085980612,0.0101597858446918,0.4851700146518027,11,3,11,
DWASHING,0.0,hierarchical - raw_softmax,25,0.0007622846935904,0.0142126572424409,-0.0045523982003862,0.0062994334189853,0.982627294725416,9,7,9,
DWASHING,0.0,hierarchical - prototype,25,-0.0026811613056866,0.0065421593817836,-0.0051715316562842,-0.0001739088230826,0.1697427564532095,7,4,14,
DWASHING,10.0,prototype - raw_softmax,25,0.0070755759266412,0.0144278725562644,0.0019725934365996,0.0129858531791705,0.0456554542200482,14,4,7,
DWASHING,10.0,hierarchical - raw_softmax,25,0.0088690242528715,0.0156159806083624,0.003488717579086,0.0153915253418213,0.0023556340337243,17,4,4,
DWASHING,10.0,hierarchical - prototype,25,0.0017934483262303,0.005431134751149,-0.0002226599747083,0.0039866039528559,0.0615039257031853,12,8,5,
DWASHING,20.0,prototype - raw_softmax,25,0.0117257452556749,0.0122348768626965,0.007036193489504,0.0164463468972022,0.0003729084779953,18,2,5,
DWASHING,20.0,hierarchical - raw_softmax,25,0.0123849517504588,0.0132391808443686,0.0076435647816658,0.0178210014270212,9.14928944129577e-05,19,3,3,
DWASHING,20.0,hierarchical - prototype,25,0.0006592064947839,0.0067657884338871,-0.0018282714350551,0.0033172855158025,0.499656379643342,10,7,8,
STRAFFIC,0.0,prototype - raw_softmax,25,0.0068666422607603,0.0255071811861899,-0.0023543661087411,0.016883977811118,0.3387878537178039,13,0,12,
STRAFFIC,0.0,hierarchical - raw_softmax,25,-0.0054513933704897,0.0231994514340532,-0.0144762821947478,0.0032473547845703,0.2410664558410644,10,0,15,
STRAFFIC,0.0,hierarchical - prototype,25,-0.0123180356312501,0.0119982342554054,-0.0170125523612059,-0.007887538408957,0.0001226738150927,2,4,19,
STRAFFIC,10.0,prototype - raw_softmax,25,0.0068571213755524,0.0248641436859536,-0.0017716442449016,0.0169870431914785,0.3944570025144395,11,4,10,
STRAFFIC,10.0,hierarchical - raw_softmax,25,-0.0047074952649873,0.0173200690769471,-0.0112550058921563,0.0019171431456519,0.1909265697823631,10,2,13,
STRAFFIC,10.0,hierarchical - prototype,25,-0.0115646166405397,0.0141264117958047,-0.0172186249931261,-0.0065377166212243,0.0004409382679493,2,1,22,
STRAFFIC,20.0,prototype - raw_softmax,25,0.0043450524226143,0.0151568268767782,-0.0009599809873511,0.0106944996126234,0.2767720474464767,13,3,9,
STRAFFIC,20.0,hierarchical - raw_softmax,25,0.0040572278436143,0.0154059067176168,-0.0012989163525119,0.0105146982656841,0.19240060217131,15,4,6,
STRAFFIC,20.0,hierarchical - prototype,25,-0.0002878245789999,0.0057084836907833,-0.0024334754994035,0.0019273113208878,0.935845552197485,10,6,9,
TBUS,0.0,prototype - raw_softmax,25,0.0047108276497191,0.0179406213327174,-0.001460987674835,0.0119632974653419,0.5480967583988466,10,3,12,
TBUS,0.0,hierarchical - raw_softmax,25,-0.0006221724222247,0.0123420542427115,-0.0052710471814962,0.0041372507376913,0.8192020334011836,12,1,12,
TBUS,0.0,hierarchical - prototype,25,-0.0053330000719438,0.0098842164787271,-0.0093275996832489,-0.0017974304274998,0.0365612891685471,9,5,11,
