accept_rule,n_total,n_accepted,coverage,selective_acc,selective_risk
accept_global,168,165,0.9821428571428571,0.9818181818181818,0.018181818181818188
accept_per_class,168,163,0.9702380952380952,0.9754601226993865,0.024539877300613466
