threshold,coverage,selective_risk,selective_acc,n_accepted,n_total
0.0,1.0,0.059523809523809534,0.9404761904761905,168,168
0.01,1.0,0.059523809523809534,0.9404761904761905,168,168
0.02,1.0,0.059523809523809534,0.9404761904761905,168,168
0.03,1.0,0.059523809523809534,0.9404761904761905,168,168
0.04,1.0,0.059523809523809534,0.9404761904761905,168,168
0.05,1.0,0.059523809523809534,0.9404761904761905,168,168
0.06,1.0,0.059523809523809534,0.9404761904761905,168,168
0.07,1.0,0.059523809523809534,0.9404761904761905,168,168
0.08,1.0,0.059523809523809534,0.9404761904761905,168,168
0.09,1.0,0.059523809523809534,0.9404761904761905,168,168
0.1,1.0,0.059523809523809534,0.9404761904761905,168,168
0.11,1.0,0.059523809523809534,0.9404761904761905,168,168
0.12,1.0,0.059523809523809534,0.9404761904761905,168,168
0.13,1.0,0.059523809523809534,0.9404761904761905,168,168
0.14,1.0,0.059523809523809534,0.9404761904761905,168,168
0.15,1.0,0.059523809523809534,0.9404761904761905,168,168
0.16,1.0,0.059523809523809534,0.9404761904761905,168,168
0.17,1.0,0.059523809523809534,0.9404761904761905,168,168
0.18,1.0,0.059523809523809534,0.9404761904761905,168,168
0.19,1.0,0.059523809523809534,0.9404761904761905,168,168
0.2,1.0,0.059523809523809534,0.9404761904761905,168,168
0.21,1.0,0.059523809523809534,0.9404761904761905,168,168
0.22,1.0,0.059523809523809534,0.9404761904761905,168,168
0.23,1.0,0.059523809523809534,0.9404761904761905,168,168
0.24,1.0,0.059523809523809534,0.9404761904761905,168,168
0.25,1.0,0.059523809523809534,0.9404761904761905,168,168
0.26,1.0,0.059523809523809534,0.9404761904761905,168,168
0.27,1.0,0.059523809523809534,0.9404761904761905,168,168
0.28,1.0,0.059523809523809534,0.9404761904761905,168,168
0.29,1.0,0.059523809523809534,0.9404761904761905,168,168
0.3,1.0,0.059523809523809534,0.9404761904761905,168,168
0.31,1.0,0.059523809523809534,0.9404761904761905,168,168
0.32,1.0,0.059523809523809534,0.9404761904761905,168,168
0.33,1.0,0.059523809523809534,0.9404761904761905,168,168
0.34,1.0,0.059523809523809534,0.9404761904761905,168,168
0.35000000000000003,1.0,0.059523809523809534,0.9404761904761905,168,168
0.36,1.0,0.059523809523809534,0.9404761904761905,168,168
0.37,1.0,0.059523809523809534,0.9404761904761905,168,168
0.38,1.0,0.059523809523809534,0.9404761904761905,168,168
0.39,1.0,0.059523809523809534,0.9404761904761905,168,168
0.4,1.0,0.059523809523809534,0.9404761904761905,168,168
0.41000000000000003,1.0,0.059523809523809534,0.9404761904761905,168,168
0.42,1.0,0.059523809523809534,0.9404761904761905,168,168
0.43,1.0,0.059523809523809534,0.9404761904761905,168,168
0.44,1.0,0.059523809523809534,0.9404761904761905,168,168
0.45,0.9940476190476191,0.05988023952095811,0.9401197604790419,167,168
0.46,0.9940476190476191,0.05988023952095811,0.9401197604790419,167,168
0.47000000000000003,0.9940476190476191,0.05988023952095811,0.9401197604790419,167,168
0.48,0.9880952380952381,0.054216867469879526,0.9457831325301205,166,168
0.49,0.9880952380952381,0.054216867469879526,0.9457831325301205,166,168
0.5,0.9880952380952381,0.054216867469879526,0.9457831325301205,166,168
0.51,0.9880952380952381,0.054216867469879526,0.9457831325301205,166,168
0.52,0.9821428571428571,0.048484848484848464,0.9515151515151515,165,168
0.53,0.9821428571428571,0.048484848484848464,0.9515151515151515,165,168
0.54,0.9821428571428571,0.048484848484848464,0.9515151515151515,165,168
0.55,0.9761904761904762,0.04268292682926833,0.9573170731707317,164,168
0.56,0.9761904761904762,0.04268292682926833,0.9573170731707317,164,168
0.5700000000000001,0.9761904761904762,0.04268292682926833,0.9573170731707317,164,168
0.58,0.9761904761904762,0.04268292682926833,0.9573170731707317,164,168
0.5853458642959595,0.9761904761904762,0.04268292682926833,0.9573170731707317,164,168
0.59,0.9702380952380952,0.042944785276073594,0.9570552147239264,163,168
0.6,0.9702380952380952,0.042944785276073594,0.9570552147239264,163,168
0.61,0.9702380952380952,0.042944785276073594,0.9570552147239264,163,168
0.62,0.9702380952380952,0.042944785276073594,0.9570552147239264,163,168
0.63,0.9642857142857143,0.03703703703703709,0.9629629629629629,162,168
0.64,0.9642857142857143,0.03703703703703709,0.9629629629629629,162,168
0.65,0.9583333333333334,0.03105590062111796,0.968944099378882,161,168
0.66,0.9583333333333334,0.03105590062111796,0.968944099378882,161,168
0.67,0.9583333333333334,0.03105590062111796,0.968944099378882,161,168
0.68,0.9583333333333334,0.03105590062111796,0.968944099378882,161,168
0.6900000000000001,0.9523809523809523,0.03125,0.96875,160,168
0.7000000000000001,0.9404761904761905,0.03164556962025311,0.9683544303797469,158,168
0.71,0.9404761904761905,0.03164556962025311,0.9683544303797469,158,168
0.72,0.9404761904761905,0.03164556962025311,0.9683544303797469,158,168
0.73,0.9285714285714286,0.03205128205128205,0.967948717948718,156,168
0.74,0.9226190476190477,0.032258064516129004,0.967741935483871,155,168
0.75,0.9166666666666666,0.03246753246753242,0.9675324675324676,154,168
0.76,0.9166666666666666,0.03246753246753242,0.9675324675324676,154,168
0.77,0.9166666666666666,0.03246753246753242,0.9675324675324676,154,168
0.78,0.9166666666666666,0.03246753246753242,0.9675324675324676,154,168
0.79,0.9166666666666666,0.03246753246753242,0.9675324675324676,154,168
0.8,0.9166666666666666,0.03246753246753242,0.9675324675324676,154,168
0.81,0.9166666666666666,0.03246753246753242,0.9675324675324676,154,168
0.8200000000000001,0.9107142857142857,0.02614379084967322,0.9738562091503268,153,168
0.8300000000000001,0.9107142857142857,0.02614379084967322,0.9738562091503268,153,168
0.84,0.8988095238095238,0.019867549668874163,0.9801324503311258,151,168
0.85,0.8928571428571429,0.020000000000000018,0.98,150,168
0.86,0.8928571428571429,0.020000000000000018,0.98,150,168
