accept_rule,n_total,n_accepted,coverage,selective_acc,selective_risk
accept_global,168,151,0.8988095238095238,0.9735099337748344,0.026490066225165587
accept_per_class,168,160,0.9523809523809523,0.9625,0.03749999999999998
