method,prototype_temperature,softmax_temperature,softmax_weight,hier_aux_prob_weight,fusion_kind,n,top1_acc,macro_f1,top2_acc,ece,brier,nll
raw_softmax,,,,,,120,0.9666666666666667,0.9666295884315906,1.0,0.04634698182344436,0.05871748924255371,0.09292995184659958
calibrated_softmax,,0.5,,,,120,0.9666666666666667,0.9666295884315906,1.0,0.03487641662359239,0.06476273387670517,0.10605946183204651
calibrated_softmax,,0.75,,,,120,0.9666666666666667,0.9666295884315906,1.0,0.04857083161671957,0.06055855005979538,0.09190928936004639
calibrated_softmax,,1.0,,,,120,0.9666666666666667,0.9666295884315906,1.0,0.04634692966938018,0.05871748924255371,0.09292994439601898
calibrated_softmax,,1.5,,,,120,0.9666666666666667,0.9666295884315906,1.0,0.053820002575715384,0.061889443546533585,0.11570776253938675
calibrated_softmax,,2.0,,,,120,0.9666666666666667,0.9666295884315906,1.0,0.11363935867945353,0.07248765975236893,0.15741224586963654
prototype,0.03,,,,,120,0.95,0.95,1.0,0.033790904283523535,0.07079601287841797,0.12715286016464233
hierarchical,0.03,,,0.5,,120,0.95,0.95,1.0,0.04933612048625943,0.08000479638576508,0.13817158341407776
prototype,0.05,,,,,120,0.95,0.95,1.0,0.030863332251707662,0.06355370581150055,0.0972352996468544
hierarchical,0.05,,,0.5,,120,0.95,0.95,1.0,0.04285421520471568,0.0695926621556282,0.10344784706830978
prototype,0.07,,,,,120,0.95,0.95,1.0,0.02462929834922151,0.059935249388217926,0.09267476201057434
hierarchical,0.07,,,0.5,,120,0.9416666666666667,0.9416504584606835,1.0,0.026705371340115917,0.06357748061418533,0.09558356553316116
prototype,0.1,,,,,120,0.95,0.95,1.0,0.025276205937067663,0.05980085954070091,0.10211474448442459
hierarchical,0.1,,,0.5,,120,0.9333333333333333,0.9332591768631813,1.0,0.052886331578095754,0.06142457202076912,0.10253965109586716
prototype,0.2,,,,,120,0.95,0.95,1.0,0.08107470075289408,0.08436097204685211,0.16456373035907745
hierarchical,0.2,,,0.5,,120,0.9416666666666667,0.9415204678362573,1.0,0.10479745914538702,0.08607886731624603,0.165781632065773
prototype,0.5,,,,,120,0.95,0.95,1.0,0.27295852849880853,0.19714047014713287,0.4161335527896881
hierarchical,0.5,,,0.5,,120,0.95,0.9494949494949495,1.0,0.2761941596865654,0.20849387347698212,0.4297405183315277
prototype,1.0,,,,,120,0.95,0.95,1.0,0.4702585197985172,0.38425153493881226,0.7476903200149536
hierarchical,1.0,,,0.5,,120,0.825,0.8005698005698005,1.0,0.3413340700169404,0.3974357545375824,0.7650102376937866
fused,0.05,0.75,0.0,0.5,pure_prototype,120,0.95,0.95,1.0,0.04285421520471568,0.0695926621556282,0.10344784706830978
fused,0.05,0.75,0.25,0.5,mixed,120,0.95,0.95,1.0,0.026644628743330588,0.06618331372737885,0.09699301421642303
fused,0.05,0.75,0.5,0.5,mixed,120,0.9583333333333334,0.9583217560433455,1.0,0.023090705772240906,0.06354118138551712,0.09374488145112991
fused,0.05,0.75,0.75,0.5,mixed,120,0.9666666666666667,0.9666295884315906,1.0,0.03595348596572876,0.061666250228881836,0.09220278263092041
fused,0.05,0.75,1.0,0.5,pure_softmax,120,0.9666666666666667,0.9666295884315906,1.0,0.04857083161671957,0.06055855005979538,0.09190928936004639
